N,density,p,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod
20,1,5,5,5.37,25.52,0,0,0,159.8
20,1,6,5,6.31,33.36,0,0,0,567.4
20,1,10,5,2.63,24.31,0,0,0,84.6
30,1,7,5,54.01,31.94,0,0,0,1048.8
30,1,10,5,29.44,30.33,0,0,0,996.4
30,1,15,5,15,23.61,0,0,0,489.2
40,1,10,5,291.57,28.53,0,0,0,945.8
40,1,13,5,202.05,32.05,0,0,0,1156.8
40,1,20,5,37.86,21.91,0,0,0,746.2
50,1,12,5,1726.42,33.95,0,0,0,1643.8
50,1,16,5,463.44,24.36,0,0,0,698.6
50,1,25,5,67.12,23.68,0,0,0,123
60,1,15,4,2181.56,29.39,0.2,0.78,1.02,758.4
60,1,20,5,394.66,26.08,0,0,0,780.4
60,1,30,5,141.86,23.45,0,0,0,352.4
70,1,17,4,2133.86,27.96,0.22,0,0.22,82.6
70,1,23,4,2210.71,28.84,0.27,0.11,0.38,429.8
70,1,35,5,251.31,20.19,0,0,0,317.8
80,1,20,1,3124.01,28.46,3.3,10.22,16.44,130.6
80,1,26,3,2434.59,23.87,0.57,0.14,0.73,635.4
80,1,40,5,1362.71,20.85,0,0,0,4052.8
90,1,22,1,3039.3,25.05,1.72,6.66,10.74,320.2
90,1,30,5,1511.64,24.18,0,0,0,1928.4
90,1,45,5,691.77,20.1,0,0,0,671.6
100,1,25,0,3601.91,26.5,4.39,10.05,18.3,1
100,1,33,3,2670.32,24.06,0.5,0.3,0.81,498.8
100,1,50,3,2186.59,17.19,0.32,0,0.32,11164.4
