N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
20,5,1,1,9.18,12.95,12.95,9.04,12.95,12.95,0,0,0,30.19,1,559
20,5,1,2,6.89,20.45,20.45,15.31,20.45,20.45,0,0,0,25.13,1,237
20,5,1,3,3.75,10.6,10.6,8.05,10.6,10.6,0,0,0,24.06,1,1
20,5,1,4,3.3,13.75,13.75,8.72,13.75,13.75,0,0,0,36.58,1,1
20,5,1,5,3.74,12.7,12.7,11.22,12.7,12.7,0,0,0,11.65,1,1
20,6,1,1,7.23,10.1,10.1,5.68,10.1,10.1,0,0,0,43.76,1,456
20,6,1,2,5.25,9.25,9.25,6.53,9.25,9.25,0,0,0,29.41,1,975
20,6,1,3,7.72,15.1,15.1,9.46,15.1,15.1,0,0,0,37.35,1,1090
20,6,1,4,6.55,16.25,16.25,11.71,16.25,16.25,0,0,0,27.94,1,315
20,6,1,5,4.8,13.1,13.1,9.39,13.1,13.1,0,0,0,28.32,1,1
20,10,1,1,1.69,7.06,7.06,5.71,7.06,7.06,0,0,0,19.12,1,1
20,10,1,2,1.48,9.81,9.81,6.7,9.81,9.81,0,0,0,31.7,1,1
20,10,1,3,5.91,10.21,10.21,7.36,10.21,10.21,0,0,0,27.91,1,419
20,10,1,4,2.64,8.06,8.06,6.03,8.06,8.06,0,0,0,25.19,1,1
20,10,1,5,1.44,11.64,11.64,9.59,11.64,11.64,0,0,0,17.61,1,1
30,7,1,1,53.85,14.2,14.2,9.48,14.2,14.2,0,0,0,33.24,1,1180
30,7,1,2,73.4,14.4,14.4,9.58,14.4,14.4,0,0,0,33.47,1,2886
30,7,1,3,43.84,12.43,12.43,8.31,12.43,12.43,0,0,0,33.15,1,1
30,7,1,4,30.51,11.57,11.57,8.28,11.57,11.57,0,0,0,28.44,1,1
30,7,1,5,68.46,11.97,11.97,8.21,11.97,11.97,0,0,0,31.41,1,1176
30,10,1,1,30.32,7.21,7.21,4.97,7.21,7.21,0,0,0,31.07,1,319
30,10,1,2,34.65,6.9,6.9,4.76,6.9,6.9,0,0,0,31.01,1,2195
30,10,1,3,23.3,6.44,6.44,4.52,6.44,6.44,0,0,0,29.81,1,497
30,10,1,4,26.35,6.88,6.88,4.56,6.88,6.88,0,0,0,33.72,1,32
30,10,1,5,32.57,8.33,8.33,6.16,8.33,8.33,0,0,0,26.05,1,1939
30,15,1,1,17.06,5.01,5.01,3.76,5.01,5.01,0,0,0,24.95,1,540
30,15,1,2,11.89,5.79,5.79,4.25,5.79,5.79,0,0,0,26.6,1,1
30,15,1,3,6.82,5.62,5.62,4.95,5.62,5.62,0,0,0,11.92,1,1
30,15,1,4,18.05,6.5,6.5,4.72,6.5,6.5,0,0,0,27.38,1,1537
30,15,1,5,21.17,6.62,6.62,4.82,6.62,6.62,0,0,0,27.19,1,367
40,10,1,1,229.54,8.34,8.34,5.79,8.34,8.34,0,0,0,30.58,1,687
