;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;30;1;7;1;0.0;0.0;0.0;49.97;159.92412614822388;9820.7;9820.7;4913.71;9820.7;9820.7;1;2030.0
1;2;30;1;7;1;0.0;0.0;0.0;49.97;92.73750996589659;9820.7;9820.7;4913.71;9820.7;9820.7;1;2092.0
2;3;30;1;7;1;0.0;0.0;0.0;44.16;103.4879879951477;9820.7;9820.7;5483.59;9820.7;9820.7;1;1801.0
3;4;30;1;7;1;0.0;0.0;0.0;49.97;221.66225409507751;9820.7;9820.7;4913.71;9820.7;9820.7;1;2477.0
4;5;30;1;7;1;0.0;0.0;0.0;49.97;340.2810208797455;9820.7;9820.7;4913.71;9820.7;9820.7;1;30903.0
5;6;30;1;7;1;0.0;0.0;0.0;49.97;13.219257831573485;9820.7;9820.7;4913.71;9820.7;9820.7;1;1062.0
6;7;30;1;7;1;0.0;0.0;0.0;49.97;7.494018077850343;9820.7;9820.7;4913.71;9820.7;9820.7;1;1.0
7;8;30;1;7;1;0.0;0.0;0.0;43.22;3.802471160888672;9820.7;9820.7;5576.43;9820.7;9820.7;1;1.0
8;1;30;1;7;2;0.0;0.0;0.0;39.86;16.614985942840573;9760.4;9760.4;5869.82;9760.4;9760.4;1;1.0
9;2;30;1;7;2;0.0;0.0;0.0;39.86;89.94777297973633;9760.4;9760.4;5869.82;9760.4;9760.4;1;1519.0
10;3;30;1;7;2;0.0;0.0;0.0;37.46;59.54186701774597;9760.4;9760.4;6103.76;9760.4;9760.4;1;2580.0
11;4;30;1;7;2;0.0;0.0;0.0;39.86;127.98334789276123;9760.4;9760.4;5869.82;9760.4;9760.4;1;1671.0
12;5;30;1;7;2;0.0;0.0;0.0;39.86;185.11893701553345;9760.4;9760.4;5869.82;9760.4;9760.4;1;2673.0
13;6;30;1;7;2;0.0;0.0;0.0;39.86;4.535253047943115;9760.4;9760.4;5869.82;9760.4;9760.4;1;1.0
14;7;30;1;7;2;0.0;0.0;0.0;39.86;2.250066041946411;9760.4;9760.4;5869.82;9760.4;9760.4;1;1.0
15;8;30;1;7;2;0.0;0.0;0.0;36.5;2.1398282051086426;9760.4;9760.4;6197.52;9760.4;9760.4;1;1.0
16;1;30;1;7;3;0.0;0.0;0.0;28.5;69.92112517356873;8878.37;8878.37;6348.05;8878.37;8878.37;1;1656.0
17;2;30;1;7;3;0.0;0.0;0.0;28.5;51.58912706375122;8878.37;8878.37;6348.05;8878.37;8878.37;1;953.0
18;3;30;1;7;3;0.0;0.0;0.0;26.87;59.587048768997185;8878.37;8878.37;6493.08;8878.37;8878.37;1;1567.0
19;4;30;1;7;3;0.0;0.0;0.0;28.5;125.47465395927428;8878.37;8878.37;6348.05;8878.37;8878.37;1;1658.0
20;5;30;1;7;3;0.0;0.0;0.0;28.5;69.2658109664917;8878.37;8878.37;6348.05;8878.37;8878.37;1;636.0
21;6;30;1;7;3;0.0;0.0;0.0;28.5;5.576905012130737;8878.37;8878.37;6348.05;8878.37;8878.37;1;39.0
22;7;30;1;7;3;0.0;0.0;0.0;28.5;2.9903931617736816;8878.37;8878.37;6348.05;8878.37;8878.37;1;1.0
23;8;30;1;7;3;0.0;0.0;0.0;25.4;2.4594380855560303;8878.37;8878.37;6623.18;8878.37;8878.37;1;1.0
24;1;30;1;7;4;0.0;0.0;0.0;35.53;61.17969703674317;10789.6;10789.6;6956.08;10789.6;10789.6;1;1965.0
25;2;30;1;7;4;0.0;0.0;0.0;35.53;16.026705980300903;10789.6;10789.6;6956.08;10789.6;10789.6;1;1.0
26;3;30;1;7;4;0.0;0.0;0.0;33.86;57.21724796295166;10789.6;10789.6;7136.69;10789.6;10789.6;1;642.0
27;4;30;1;7;4;0.0;0.0;0.0;35.53;101.18835616111755;10789.6;10789.6;6956.08;10789.6;10789.6;1;1471.0
28;5;30;1;7;4;0.0;0.0;0.0;35.53;82.09141612052917;10789.6;10789.6;6956.08;10789.6;10789.6;1;1694.0
29;6;30;1;7;4;0.0;0.0;0.0;35.53;8.765239953994751;10789.6;10789.6;6956.08;10789.6;10789.6;1;245.0
30;7;30;1;7;4;0.0;0.0;0.0;35.53;2.693969964981079;10789.6;10789.6;6956.08;10789.6;10789.6;1;1.0
31;8;30;1;7;4;0.0;0.0;0.0;33.86;3.545706033706665;10789.6;10789.6;7136.69;10789.6;10789.6;1;1.0
32;1;30;1;7;5;0.0;0.0;0.0;44.1;125.76281118392944;8353.67;8353.67;4669.83;8353.67;8353.67;1;712.0
33;2;30;1;7;5;0.0;0.0;0.0;44.1;28.106591939926147;8353.67;8353.67;4669.83;8353.67;8353.67;1;2793.0
34;3;30;1;7;5;0.0;0.0;0.0;42.48;49.94450092315674;8353.67;8353.67;4804.79;8353.67;8353.67;1;2705.0
35;4;30;1;7;5;0.0;0.0;0.0;44.1;250.2812201976776;8353.67;8353.67;4669.83;8353.67;8353.67;1;4630.0
36;5;30;1;7;5;0.0;0.0;0.0;44.1;338.54351401329035;8353.67;8353.67;4669.83;8353.67;8353.67;1;11802.0
37;6;30;1;7;5;0.0;0.0;0.0;44.1;16.605568885803226;8353.67;8353.67;4669.83;8353.67;8353.67;1;244.0
38;7;30;1;7;5;0.0;0.0;0.0;44.1;4.845176935195923;8353.67;8353.67;4669.83;8353.67;8353.67;1;1.0
39;8;30;1;7;5;0.0;0.0;0.0;36.72;3.9406678676605225;8353.67;8353.67;5286.01;8353.67;8353.67;1;1.0
