;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;10;1;0.0;0.0;22.99;21.47;100.98328495025636;6824.43;6824.43;5359.12;6824.43;8393.1;1;629611.0
1;2;20;1;10;1;0.0;22.99;0.0;15.27;26.929965019226074;8393.1;8393.1;5782.02;6824.43;8393.1;1;10507.0
2;3;20;1;10;1;0.0;22.99;0.0;13.52;22.066025018692017;8393.1;8393.1;5902.0;6824.43;8393.1;1;6401.0
3;4;20;1;10;1;0.0;22.99;0.0;15.27;59.7853832244873;8393.1;8393.1;5782.02;6824.43;8393.1;1;8110.0
4;5;20;1;10;1;0.0;22.99;0.0;15.27;49.17681694030762;8393.1;8393.1;5782.02;6824.43;8393.1;1;13907.0
5;6;20;1;10;1;0.0;22.99;0.0;6.16;4.486968994140625;8393.1;8393.1;6404.27;6824.43;8393.1;1;210.0
6;7;20;1;10;1;0.0;22.99;0.0;6.16;1.5380840301513672;8393.1;8393.1;6404.27;6824.43;8393.1;1;1.0
7;8;20;1;10;1;0.0;22.99;0.0;5.27;0.629112958908081;8393.1;8393.1;6464.47;6824.43;8393.1;1;1.0
8;1;20;1;10;2;0.0;0.0;33.8;28.59;19.43342113494873;7584.83;7584.83;5416.15;7584.83;10148.4;1;55269.0
9;2;20;1;10;2;0.0;33.8;0.0;20.31;58.13424801826477;10148.4;10148.4;6044.67;7584.83;10148.4;1;8874.0
10;3;20;1;10;2;0.0;33.8;0.0;18.03;66.27254509925842;10148.4;10148.4;6216.99;7584.83;10148.4;1;12579.0
11;4;20;1;10;2;0.0;33.8;0.0;20.31;103.77527904510498;10148.4;10148.4;6044.67;7584.83;10148.4;1;16094.0
12;5;20;1;10;2;0.0;33.8;0.0;20.31;314.7273240089416;10148.4;10148.4;6044.67;7584.83;10148.4;1;80757.0
13;6;20;1;10;2;0.0;33.8;0.0;11.56;5.551772832870483;10148.4;10148.4;6708.05;7584.83;10148.4;1;883.0
14;7;20;1;10;2;0.0;33.8;0.0;11.56;8.016398191452026;10148.4;10148.4;6708.05;7584.83;10148.4;1;3380.0
15;8;20;1;10;2;0.0;33.8;0.0;8.47;5.188591957092285;10148.4;10148.4;6942.21;7584.83;10148.4;1;425.0
16;1;20;1;10;3;0.0;0.0;30.02;27.93;5.192838907241821;5803.03;5803.03;4182.27;5803.03;7544.93;1;2899.0
17;2;20;1;10;3;0.0;30.02;0.0;19.98;16.521543979644775;7544.93;7544.93;4643.83;5803.03;7544.93;1;6143.0
18;3;20;1;10;3;0.0;30.02;0.0;18.08;16.02048897743225;7544.93;7544.93;4753.85;5803.03;7544.93;1;4087.0
19;4;20;1;10;3;0.0;30.02;0.0;19.98;195.5168740749359;7544.93;7544.93;4643.83;5803.03;7544.93;1;75120.0
20;5;20;1;10;3;0.0;30.02;0.0;19.98;19.82903289794922;7544.93;7544.93;4643.83;5803.03;7544.93;1;1565.0
21;6;20;1;10;3;0.0;30.02;0.0;10.4;4.955516815185547;7544.93;7544.93;5199.59;5803.03;7544.93;1;308.0
22;7;20;1;10;3;0.0;30.02;0.0;10.4;1.4450840950012207;7544.93;7544.93;5199.59;5803.03;7544.93;1;1.0
23;8;20;1;10;3;0.0;30.02;0.0;8.62;1.4450550079345703;7544.93;7544.93;5302.96;5803.03;7544.93;1;1.0
24;1;20;1;10;4;0.0;0.0;14.01;32.66;22.192930936813354;8383.78;8383.78;5645.35;8383.78;9558.75;1;20536.0
25;2;20;1;10;4;0.0;14.01;0.0;28.66;13.06609296798706;9558.75;9558.75;5980.87;8383.78;9558.75;1;2213.0
26;3;20;1;10;4;0.0;14.01;0.0;25.84;14.97492504119873;9558.75;9558.75;6217.76;8383.78;9558.75;1;3658.0
27;4;20;1;10;4;0.0;14.01;0.0;28.66;55.62839889526367;9558.75;9558.75;5980.87;8383.78;9558.75;1;8064.0
28;5;20;1;10;4;0.0;14.01;0.0;28.66;56.94619822502136;9558.75;9558.75;5980.87;8383.78;9558.75;1;3734.0
29;6;20;1;10;4;0.0;14.01;0.0;25.69;0.9666929244995116;9558.75;9558.75;6230.37;8383.78;9558.75;1;1.0
30;7;20;1;10;4;0.0;14.01;0.0;25.69;1.1426379680633545;9558.75;9558.75;6230.37;8383.78;9558.75;1;1.0
31;8;20;1;10;4;0.0;14.01;0.0;24.62;0.5801749229431152;9558.75;9558.58;6319.74;8383.78;9558.75;1;1.0
32;1;20;1;10;5;0.0;0.0;17.08;32.75;2.1510119438171387;4296.15;4296.15;2889.18;4296.15;5029.76;1;1.0
33;2;20;1;10;5;0.0;17.08;0.0;30.22;3.116168975830078;5029.76;5029.76;2997.84;4296.15;5029.76;1;1.0
34;3;20;1;10;5;0.0;17.08;0.0;28.96;2.5814449787139893;5029.76;5029.76;3051.83;4296.15;5029.76;1;1.0
35;4;20;1;10;5;0.0;17.08;0.0;30.22;5.3454999923706055;5029.76;5029.76;2997.84;4296.15;5029.76;1;356.0
36;5;20;1;10;5;0.0;17.08;0.0;30.22;6.817001819610597;5029.76;5029.76;2997.84;4296.15;5029.76;1;912.0
37;6;20;1;10;5;0.0;17.08;0.0;27.45;0.667726993560791;5029.76;5029.76;3116.93;4296.15;5029.76;1;1.0
38;7;20;1;10;5;0.0;17.08;0.0;27.45;0.4796500205993652;5029.76;5029.76;3116.93;4296.15;5029.76;1;1.0
39;8;20;1;10;5;0.0;17.08;0.0;23.89;0.9047720432281494;5029.76;5029.76;3269.78;4296.15;5029.76;1;1.0
