;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;5;1;0.0;0.0;0.0;64.35;85.012451171875;23742.25;23742.25;8463.25;23742.25;23742.25;1;7656.0
1;2;20;1;5;1;0.0;0.0;0.0;64.35;119.76693987846376;23742.25;23742.25;8463.25;23742.25;23742.25;1;27832.0
2;3;20;1;5;1;0.0;0.0;0.0;62.74;127.98748087882996;23742.25;23742.25;8846.63;23742.25;23742.25;1;31709.0
3;4;20;1;5;1;0.0;0.0;0.0;64.35;226.0290811061859;23742.25;23742.25;8463.25;23742.25;23742.25;1;40902.0
4;5;20;1;5;1;0.0;0.0;0.0;64.35;186.31989693641663;23742.25;23742.25;8463.25;23742.25;23742.25;1;45287.0
5;6;20;1;5;1;0.0;0.0;0.0;35.24;2.7595539093017583;23742.25;23742.25;15375.01;23742.25;23742.25;1;494.0
6;7;20;1;5;1;0.01;0.01;0.0;35.24;0.9575579166412354;23742.25;23740.42;15375.01;23742.25;23742.25;1;1.0
7;8;20;1;5;1;0.01;0.01;0.0;30.84;1.7508790493011477;23742.25;23740.42;16420.1;23742.25;23742.25;1;1.0
8;1;20;1;5;2;0.0;0.0;0.0;55.45;391.8950889110565;26374.79;26374.79;11750.51;26374.78;26374.79;1;158127.0
9;2;20;1;5;2;0.0;0.0;0.0;55.45;679.8274509906769;26374.79;26374.79;11750.51;26374.78;26374.79;1;87659.0
10;3;20;1;5;2;0.0;0.0;0.0;53.08;179.90639400482178;26374.79;26374.79;12374.61;26374.78;26374.79;1;46068.0
11;4;20;1;5;2;0.0;0.0;0.0;55.45;964.3932509422302;26374.79;26374.79;11750.51;26374.78;26374.79;1;101348.0
12;5;20;1;5;2;0.0;0.0;0.0;55.45;939.4814031124116;26374.78;26374.78;11750.51;26374.78;26374.79;1;81523.0
13;6;20;1;5;2;0.0;0.0;0.0;31.62;8.201811075210571;26374.79;26374.79;18035.36;26374.78;26374.79;1;5111.0
14;7;20;1;5;2;0.0;0.0;0.0;31.62;5.7854371070861825;26374.79;26374.79;18035.36;26374.78;26374.79;1;1621.0
15;8;20;1;5;2;0.0;0.0;0.0;30.84;2.0387330055236816;26374.79;26374.79;18239.57;26374.78;26374.79;1;1394.0
16;1;20;1;5;3;0.01;0.01;0.0;63.73;3253.807946920395;18469.75;18468.75;6698.55;18469.75;18469.75;1;2636202.0
17;2;20;1;5;3;0.0;0.0;0.0;63.73;128.0600209236145;18469.75;18469.75;6698.55;18469.75;18469.75;1;14504.0
18;3;20;1;5;3;0.0;0.0;0.0;58.86;167.25331401824948;18469.75;18469.75;7598.54;18469.75;18469.75;1;20148.0
19;4;20;1;5;3;0.0;0.0;0.0;63.73;158.5267200469971;18469.75;18469.75;6698.55;18469.75;18469.75;1;19296.0
20;5;20;1;5;3;0.0;0.0;0.0;63.73;210.4575068950653;18469.75;18469.75;6698.55;18469.75;18469.75;1;26542.0
21;6;20;1;5;3;0.0;0.0;0.0;36.53;5.137517929077148;18469.75;18469.75;11723.35;18469.75;18469.75;1;1804.0
22;7;20;1;5;3;0.0;0.0;0.0;36.53;6.042083024978638;18469.75;18469.75;11723.35;18469.75;18469.75;1;1109.0
23;8;20;1;5;3;0.0;0.0;0.0;32.37;6.559853076934815;18469.75;18469.75;12491.66;18469.75;18469.75;1;438.0
24;1;20;1;5;4;0.0;0.0;0.0;50.23;454.2961709499359;16535.11;16535.11;8229.36;16535.11;16535.11;1;260120.0
25;2;20;1;5;4;0.0;0.0;0.0;50.23;106.9474561214447;16535.11;16535.11;8229.36;16535.11;16535.11;1;10801.0
26;3;20;1;5;4;0.0;0.0;0.0;46.99;102.8546359539032;16535.11;16535.11;8764.94;16535.11;16535.11;1;11703.0
27;4;20;1;5;4;0.0;0.0;0.0;50.23;82.11120104789735;16535.11;16535.11;8229.36;16535.11;16535.11;1;10291.0
28;5;20;1;5;4;0.0;0.0;0.0;50.23;113.81462907791138;16535.11;16535.11;8229.36;16535.11;16535.11;1;17987.0
29;6;20;1;5;4;0.0;0.0;0.0;18.1;1.607564926147461;16535.11;16535.04;13542.59;16535.11;16535.11;1;1.0
30;7;20;1;5;4;0.0;0.0;0.0;18.1;2.4215288162231445;16535.11;16534.29;13542.59;16535.11;16535.11;1;1.0
31;8;20;1;5;4;0.0;0.0;0.0;16.73;0.9510819911956788;16535.11;16535.11;13769.28;16535.11;16535.11;1;1.0
32;1;20;1;5;5;0.0;0.0;0.0;64.62;2163.247328042984;32417.54;32417.54;11470.85;32417.54;32417.54;1;1258391.0
33;2;20;1;5;5;0.0;0.0;0.0;64.62;1217.0154030323026;32417.54;32417.54;11470.85;32417.54;32417.54;1;186943.0
34;3;20;1;5;5;0.0;0.0;0.0;61.47;1394.6998178958893;32417.54;32417.54;12488.97;32417.54;32417.54;1;200425.0
35;4;20;1;5;5;0.0;0.0;0.0;64.62;1344.8152148723602;32417.54;32417.54;11470.85;32417.54;32417.54;1;473764.0
36;5;20;1;5;5;0.0;0.0;0.0;64.62;1768.9634828567505;32417.54;32417.54;11470.85;32417.54;32417.54;1;443724.0
37;6;20;1;5;5;0.0;0.0;0.0;38.86;10.428042888641356;32417.54;32417.54;19820.43;32417.54;32417.54;1;5248.0
38;7;20;1;5;5;0.0;0.0;0.0;38.86;7.394928932189941;32417.54;32417.54;19820.43;32417.54;32417.54;1;2106.0
39;8;20;1;5;5;0.0;0.0;0.0;37.94;8.157935857772827;32417.54;32417.54;20117.44;32417.54;32417.54;1;2334.0
