;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;30;1;7;1;0.0;71.34;0.0;34.93;337.6584644317627;24.33;24.33;9.24;14.2;24.33;1;3441.0
1;2;30;1;7;1;0.0;71.34;0.0;34.93;403.20092010498047;24.33;24.33;9.24;14.2;24.33;1;1688.0
2;3;30;1;7;1;0.0;71.34;0.0;31.97;883.3344097137451;24.33;24.33;9.66;14.2;24.33;1;4232.0
3;4;30;1;7;1;0.0;71.34;0.0;34.93;356.6593170166016;24.33;24.33;9.24;14.2;24.33;1;4504.0
4;5;30;1;7;1;0.0;71.34;0.0;34.93;284.7794017791748;24.33;24.33;9.24;14.2;24.33;1;1857.0
5;6;30;1;7;1;0.0;71.34;0.0;4.72;26.05409240722656;24.33;24.33;14.87;14.2;24.33;1;3776.0
6;7;30;1;7;1;0.0;71.34;0.0;4.72;13.68488311767578;24.33;24.33;14.87;14.2;24.33;1;3240.0
7;8;30;1;7;1;0.0;71.34;0.0;5.35;21.01571083068848;24.33;24.33;14.96;14.2;24.33;1;4481.0
8;1;30;1;7;2;0.0;46.04;0.0;36.11;354.93993186950684;21.03;21.03;9.2;14.4;21.03;1;1714.0
9;2;30;1;7;2;0.0;46.04;0.0;36.11;365.7492904663086;21.03;21.03;9.2;14.4;21.03;1;1732.0
10;3;30;1;7;2;0.0;46.04;0.0;34.31;290.23202896118164;21.03;21.03;9.46;14.4;21.03;1;1584.0
11;4;30;1;7;2;0.0;46.04;0.0;36.11;357.8016147613525;21.03;21.03;9.2;14.4;21.03;1;1873.0
12;5;30;1;7;2;0.0;46.04;0.0;36.11;388.5110931396485;21.03;21.03;9.2;14.4;21.03;1;3528.0
13;6;30;1;7;2;0.0;46.04;0.0;5.21;12.915401458740234;21.03;21.03;13.65;14.4;21.03;1;3032.0
14;7;30;1;7;2;0.0;46.04;0.0;5.21;8.63896369934082;21.03;21.03;13.65;14.4;21.03;1;951.0
15;8;30;1;7;2;0.0;46.04;0.0;2.64;8.34925651550293;21.03;21.03;14.02;14.4;21.03;1;1673.0
16;1;30;1;7;3;0.0;64.12;0.0;41.91;522.9044017791748;20.4;20.4;7.22;12.43;20.4;1;3196.0
17;2;30;1;7;3;0.0;64.12;0.0;41.91;453.85820388793945;20.4;20.4;7.22;12.43;20.4;1;2406.0
18;3;30;1;7;3;0.0;64.12;0.0;36.77;745.2269744873047;20.4;20.4;7.86;12.43;20.4;1;2547.0
19;4;30;1;7;3;0.0;64.12;0.0;41.91;319.2896423339844;20.4;20.4;7.22;12.43;20.4;1;1734.0
20;5;30;1;7;3;0.0;64.12;0.0;41.91;317.1955642700196;20.4;20.4;7.22;12.43;20.4;1;1734.0
21;6;30;1;7;3;0.0;64.12;0.0;2.65;9.956827163696287;20.4;20.4;12.76;12.43;20.4;1;1775.0
22;7;30;1;7;3;0.0;64.12;0.0;2.65;10.133914947509766;20.4;20.4;12.76;12.43;20.4;1;1525.0
23;8;30;1;7;3;0.0;64.12;0.0;6.44;6.8125553131103525;20.4;20.4;13.23;12.43;20.4;1;600.0
24;1;30;1;7;4;0.0;54.71;0.0;29.3;332.72958946228033;17.9;17.9;8.18;11.57;17.9;1;1775.0
25;2;30;1;7;4;0.0;54.71;0.0;29.3;312.07638359069824;17.9;17.9;8.18;11.57;17.9;1;1401.0
26;3;30;1;7;4;0.0;54.71;0.0;26.36;308.0144138336182;17.9;17.9;8.52;11.57;17.9;1;1446.0
27;4;30;1;7;4;0.0;54.71;0.0;29.3;459.77662467956543;17.9;17.9;8.18;11.57;17.9;1;2825.0
28;5;30;1;7;4;0.0;54.71;0.0;29.3;368.2683639526367;17.9;17.9;8.18;11.57;17.9;1;2280.0
29;6;30;1;7;4;0.0;54.71;0.0;11.58;7.515022277832031;17.9;17.9;12.91;11.57;17.9;1;658.0
30;7;30;1;7;4;0.0;54.71;0.0;11.58;6.1770973205566415;17.9;17.9;12.91;11.57;17.9;1;313.0
31;8;30;1;7;4;0.0;54.71;0.0;13.05;5.12640380859375;17.9;17.9;13.08;11.57;17.9;1;183.0
32;1;30;1;7;5;0.0;59.57;0.0;32.92;252.72170448303225;19.1;19.1;8.03;11.97;19.1;1;1392.0
33;2;30;1;7;5;0.0;59.57;0.0;32.92;306.3732795715332;19.1;19.1;8.03;11.97;19.1;1;1627.0
34;3;30;1;7;5;0.0;59.57;0.0;30.33;376.6431274414063;19.1;19.1;8.34;11.97;19.1;1;1624.0
35;4;30;1;7;5;0.0;59.57;0.0;32.92;334.2276821136474;19.1;19.1;8.03;11.97;19.1;1;3271.0
36;5;30;1;7;5;0.0;59.57;0.0;32.92;376.3935604095459;19.1;19.1;8.03;11.97;19.1;1;3808.0
37;6;30;1;7;5;0.0;59.57;0.0;11.86;9.237768173217773;19.1;19.1;13.39;11.97;19.1;1;1516.0
38;7;30;1;7;5;0.0;59.57;0.0;11.86;6.3940773010253915;19.1;19.1;13.39;11.97;19.1;1;892.0
39;8;30;1;7;5;0.0;59.57;0.0;12.7;9.267356872558594;19.1;19.1;13.49;11.97;19.1;1;933.0
