;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;30;1;7;1;0.0;0.0;0.0;34.93;123.4481430053711;14.2;14.2;9.24;14.2;14.2;1;1118.0
1;2;30;1;7;1;0.0;0.0;0.0;34.93;254.5687122344971;14.2;14.2;9.24;14.2;14.2;1;1256.0
2;1;30;1;7;2;0.0;0.0;0.0;36.11;115.07306098937988;14.4;14.4;9.2;14.4;14.4;1;1266.0
3;2;30;1;7;2;0.0;0.0;0.0;36.11;392.1310386657715;14.4;14.4;9.2;14.4;14.4;1;4340.0
4;1;30;1;7;3;0.0;0.0;0.0;41.91;129.76938438415527;12.43;12.43;7.22;12.43;12.43;1;1369.0
5;2;30;1;7;3;0.0;0.0;0.0;41.91;213.7822093963623;12.43;12.43;7.22;12.43;12.43;1;5276.0
6;1;30;1;7;4;0.0;0.0;0.0;29.3;54.525856018066406;11.57;11.57;8.18;11.57;11.57;1;1058.0
7;2;30;1;7;4;0.0;0.0;0.0;29.3;185.37996482849118;11.57;11.57;8.18;11.57;11.57;1;2010.0
8;1;30;1;7;5;0.0;0.0;0.0;32.92;149.95157241821292;11.97;11.97;8.03;11.97;11.97;1;2325.0
9;2;30;1;7;5;0.0;0.0;0.0;32.92;66.1151065826416;11.97;11.97;8.03;11.97;11.97;1;3118.0
