;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;40;1;13;1;0.0;0.0;0.0;28.57;116.70687866210938;6.79;6.79;4.85;6.79;6.79;1;539.0
1;2;40;1;13;1;0.0;0.0;0.0;28.57;623.4006958007812;6.79;6.79;4.85;6.79;6.79;1;2552.0
2;1;40;1;13;2;0.0;0.0;0.0;29.66;402.5780696868897;7.35;7.35;5.17;7.35;7.35;1;2779.0
3;2;40;1;13;2;0.0;0.0;0.0;29.66;815.5792903900146;7.35;7.35;5.17;7.35;7.35;1;5471.0
4;1;40;1;13;3;0.0;0.0;0.0;40.6;243.87585639953613;6.7;6.7;3.98;6.7;6.7;1;1272.0
5;2;40;1;13;3;0.0;0.0;0.0;40.6;920.6305351257324;6.7;6.7;3.98;6.7;6.7;1;8440.0
6;1;40;1;13;4;0.0;0.0;0.0;38.42;272.38581466674805;6.22;6.22;3.83;6.22;6.22;1;5019.0
7;2;40;1;13;4;0.0;0.0;0.0;38.42;1004.5896015167236;6.22;6.22;3.83;6.22;6.22;1;8982.0
8;1;40;1;13;5;0.0;0.0;0.0;35.53;545.7543411254883;8.19;8.19;5.28;8.19;8.19;1;3360.0
9;2;40;1;13;5;0.0;0.0;0.0;35.53;1893.9876804351807;8.19;8.19;5.28;8.19;8.19;1;12504.0
