;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;60;1;20;1;0.0;0.0;0.0;29.08;1117.9935302734377;4.78;4.78;3.39;4.78;4.78;1;562.0
1;2;60;1;20;1;0.0;0.0;0.0;29.08;2195.028213500977;4.78;4.78;3.39;4.78;4.78;1;3046.0
2;1;60;1;20;2;0.0;0.0;0.0;35.7;1604.025899887085;4.93;4.93;3.17;4.93;4.93;1;2846.0
3;2;60;1;20;2;0.0;0.0;0.0;35.7;2398.1937580108647;4.93;4.93;3.17;4.93;4.93;1;2269.0
4;1;60;1;20;3;0.0;0.0;0.0;28.32;494.528621673584;4.52;4.52;3.24;4.52;4.52;1;748.0
5;2;60;1;20;3;0.0;0.0;0.0;28.32;1430.5526657104492;4.52;4.52;3.24;4.52;4.52;1;3572.0
6;1;60;1;20;4;0.0;0.0;0.0;22.31;986.5012969970703;3.9;3.9;3.03;3.9;3.9;1;354.0
7;2;60;1;20;4;0.0;0.0;0.0;22.31;669.4739685058594;3.9;3.9;3.03;3.9;3.9;1;4652.0
8;1;60;1;20;5;0.0;0.0;0.0;22.46;259.71261024475103;5.21;5.21;4.04;5.21;5.21;1;31.0
9;2;60;1;20;5;0.0;0.0;0.0;22.46;1072.299108505249;5.21;5.21;4.04;5.21;5.21;1;2569.0
