;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;50;1;12;1;0.79;0.78;0.0;41.72;3600.0767555236816;7.67;7.61;4.47;7.67;7.67;0;10669.0
1;2;50;1;12;1;15.33;9.0;4.72;41.72;3600.403066635132;8.05;6.98;4.47;7.67;7.67;0;2491.0
2;1;50;1;12;2;0.0;0.0;0.0;26.12;1057.9673709869382;6.24;6.24;4.61;6.24;6.24;1;5523.0
3;2;50;1;12;2;0.0;0.0;0.0;26.12;2518.837640762329;6.24;6.24;4.61;6.24;6.24;1;3707.0
4;1;50;1;12;3;0.0;0.0;0.0;39.36;2378.292104721069;6.91;6.91;4.19;6.91;6.91;1;3530.0
5;2;50;1;12;3;5.71;1.16;4.29;39.36;3600.166316986084;7.22;6.83;4.19;6.91;6.91;0;4540.0
6;1;50;1;12;4;0.0;0.0;0.0;38.83;2062.5759525299068;7.16;7.16;4.38;7.16;7.16;1;2618.0
7;2;50;1;12;4;7.03;4.61;2.05;38.83;3600.082363128662;7.31;6.83;4.38;7.16;7.16;0;1484.0
8;1;50;1;12;5;0.0;0.0;0.0;33.29;2187.8208694458012;7.06;7.06;4.71;7.06;7.06;1;1819.0
9;2;50;1;12;5;1.13;0.14;0.98;33.29;3600.131206512451;7.13;7.05;4.71;7.06;7.06;0;8257.0
