;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;6;1;0.0;;inf;;17.207550048828125;10.1;10.1;5.05;inf;-inf;1;1049.0
1;2;20;1;6;1;0.0;;inf;;20.47379302978516;10.1;10.1;5.05;inf;-inf;1;3069.0
2;1;20;1;6;2;0.0;;inf;;6.925214767456055;9.25;9.25;6.24;inf;-inf;1;1505.0
3;2;20;1;6;2;0.0;;inf;;4.330284118652344;9.25;9.25;6.24;inf;-inf;1;124.0
4;1;20;1;6;3;0.0;;inf;;8.61317253112793;15.1;15.1;8.75;inf;-inf;1;984.0
5;2;20;1;6;3;0.0;;inf;;9.954103469848633;15.1;15.1;8.75;inf;-inf;1;1901.0
6;1;20;1;6;4;0.0;;inf;;5.7208003997802725;16.25;16.25;10.3;inf;-inf;1;403.0
7;2;20;1;6;4;0.0;;inf;;13.26923942565918;16.25;16.25;10.3;inf;-inf;1;1245.0
8;1;20;1;6;5;0.0;;inf;;6.985496520996094;13.1;13.1;8.75;inf;-inf;1;726.0
9;2;20;1;6;5;0.0;;inf;;5.516590118408203;13.1;13.1;8.75;inf;-inf;1;620.0
