;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;60;1;15;1;0.0;0.0;0.0;32.01;3370.633295059204;6.56;6.56;4.46;6.56;6.56;1;11898.0
1;2;60;1;15;1;9.08;2.59;5.88;32.01;3600.345439910889;6.97;6.39;4.46;6.56;6.56;0;1182.0
2;1;60;1;15;2;1.52;1.49;0.0;33.5;3600.048501968384;6.03;5.94;4.01;6.03;6.03;0;2907.0
3;2;60;1;15;2;6.04;3.98;1.79;33.5;3600.132074356079;6.14;5.79;4.01;6.03;6.03;0;1588.0
4;1;60;1;15;3;7.79;3.65;3.71;36.51;3600.1426219940186;5.12;4.75;3.13;4.93;4.93;0;1480.0
5;2;60;1;15;3;15.89;8.11;6.1;36.51;3600.1516666412354;5.25;4.53;3.13;4.93;4.93;0;1095.0
6;1;60;1;15;4;0.0;0.0;0.0;26.71;2050.869205474853;5.69;5.69;4.17;5.69;5.69;1;2637.0
7;2;60;1;15;4;1.79;1.76;0.0;26.71;3600.1233444213867;5.69;5.59;4.17;5.69;5.69;0;3139.0
8;1;60;1;15;5;0.0;0.0;0.0;29.04;1744.6076316833496;5.82;5.82;4.13;5.82;5.82;1;1637.0
9;2;60;1;15;5;0.0;0.0;0.0;29.04;2749.236095428467;5.82;5.82;4.13;5.82;5.82;1;4812.0
