;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;30;1;10;1;0.0;0.0;0.0;37.45;20.12384033203125;7.21;7.21;4.51;7.21;7.21;1;1.0
1;2;30;1;10;1;0.0;0.0;0.0;37.45;69.68350791931152;7.21;7.21;4.51;7.21;7.21;1;1242.0
2;1;30;1;10;2;0.0;0.0;0.0;33.77;21.53941345214844;6.9;6.9;4.57;6.9;6.9;1;986.0
3;2;30;1;10;2;0.0;0.0;0.0;33.77;156.35050010681152;6.9;6.9;4.57;6.9;6.9;1;2215.0
4;1;30;1;10;3;0.0;0.0;0.0;33.85;25.85210418701172;6.44;6.44;4.26;6.44;6.44;1;104.0
5;2;30;1;10;3;0.0;0.0;0.0;33.85;69.9251651763916;6.44;6.44;4.26;6.44;6.44;1;2384.0
6;1;30;1;10;4;0.0;0.0;0.0;37.65;14.006175994873047;6.88;6.88;4.29;6.88;6.88;1;1.0
7;2;30;1;10;4;0.0;0.0;0.0;37.65;67.86289024353027;6.88;6.88;4.29;6.88;6.88;1;1137.0
8;1;30;1;10;5;0.0;0.0;0.0;32.29;81.31544876098633;8.33;8.33;5.64;8.33;8.33;1;2331.0
9;2;30;1;10;5;0.0;0.0;0.0;32.29;119.40711975097656;8.33;8.33;5.64;8.33;8.33;1;1710.0
