;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;5;1;0.0;0.0;0.0;33.82;12.013931274414062;12.95;12.95;8.57;12.95;12.95;1;1511.0
1;2;20;1;5;1;0.0;0.0;0.0;33.75;27.33405876159668;12.95;12.95;8.58;12.95;12.95;1;1471.0
2;1;20;1;5;2;0.0;4.88;3.67;31.58;9.284423828125;20.45;20.45;14.71;21.5;19.7;1;1081.0
3;2;20;1;5;2;0.0;4.88;3.67;31.58;33.1488094329834;20.45;20.45;14.71;21.5;19.7;1;1092.0
4;1;20;1;5;3;0.0;0.0;0.0;28.02;6.766654968261719;10.6;10.6;7.63;10.6;10.6;1;1683.0
5;2;20;1;5;3;0.0;0.0;0.0;28.11;8.674886703491211;10.6;10.6;7.62;10.6;10.6;1;851.0
6;1;20;1;5;4;0.0;0.0;0.0;45.96;4.332801818847656;13.75;13.75;7.43;13.75;13.75;1;1.0
7;2;20;1;5;4;0.0;0.0;0.0;46.04;14.846170425415039;13.75;13.75;7.42;13.75;13.75;1;408.0
8;1;20;1;5;5;0.0;0.0;0.0;14.8;10.17363739013672;12.7;12.7;10.82;12.7;12.7;1;469.0
9;2;20;1;5;5;0.0;0.0;0.0;14.8;6.861459732055664;12.7;12.7;10.82;12.7;12.7;1;60.0
