N,density,p,time subpre,gap subpre,time pre,gap pre,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod,mean cuts added,mean cuts pre,mean cuts pos
20,1,5,36,0.3,360,0.3,5,1459.64,20.83,0,0,0,770744.6,10387.2,410.8,9976.4
20,1,5,36,0.3,360,0.7,5,1375.63,20.83,0,0,0,840656.6,10380.6,2.6,10378
