;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;30;1;15;1;86.57;13.77;37.84;13.77;3600.0474858284;8.06;4.32;4.32;5.01;5.01;0;NO;1748
1;2;30;1;15;1;494.62;74.05;35.19;13.77;3600.788356781006;7.73;1.3;4.32;5.01;5.01;0;211720.0;45562
2;1;30;1;15;2;112.94;15.89;44.17;15.89;3600.0301587581635;10.37;4.87;4.87;5.79;5.79;0;NO;1308
3;2;30;1;15;2;413.99;75.3;21.22;15.89;3600.681219100952;7.35;1.43;4.87;5.79;5.79;0;231934.0;42602
4;1;30;1;15;3;77.18;4.09;41.15;4.09;3600.05095410347;9.55;5.39;5.39;5.62;5.62;0;NO;1321
5;2;30;1;15;3;304.81;66.73;25.76;4.09;3600.600534439087;7.57;1.87;5.39;5.62;5.62;0;189484.0;45244
6;1;30;1;15;4;82.2;18.77;32.43;18.77;3600.01930642128;9.62;5.28;5.28;6.5;6.5;0;NO;1576
7;2;30;1;15;4;521.09;77.38;28.81;18.62;3600.911027908325;9.13;1.47;5.29;6.5;6.5;0;251307.0;43531
8;1;30;1;15;5;76.05;20.54;28.51;20.54;3600.021460533142;9.26;5.26;5.26;6.62;6.62;0;NO;1862
9;2;30;1;15;5;500.66;77.19;27.01;20.54;3600.8487796783447;9.07;1.51;5.26;6.62;6.62;0;210638.0;42717
