;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;20;1;6;1;76.42;37.43;9.42;37.43;3600.0132887363434;11.15;6.32;6.32;10.1;10.1;0;NO;1791
1;2;20;1;6;1;9.78;8.91;0.0;37.43;3600.496381759644;10.1;9.2;6.32;10.1;10.1;0;1196839.0;33820
2;1;20;1;6;2;19.73;12.86;4.15;12.86;3600.017843961716;9.65;8.06;8.06;9.25;9.25;0;NO;1484
3;2;20;1;6;2;0.0;0.0;0.0;12.86;2196.2502098083496;9.25;9.25;8.06;9.25;9.25;1;1032316.0;21252
4;1;20;1;6;3;43.25;26.95;4.43;26.95;3600.021904706955;15.8;11.03;11.03;15.1;15.1;0;NO;1740
5;2;20;1;6;3;33.04;24.83;0.0;26.95;3600.1532707214355;15.1;11.35;11.03;15.1;15.1;0;1474303.0;31428
6;1;20;1;6;4;55.76;25.72;13.56;25.72;3600.01481628418;18.8;12.07;12.07;16.25;16.25;0;NO;1616
7;2;20;1;6;4;34.3;25.54;0.0;25.72;3600.0747108459477;16.25;12.1;12.07;16.25;16.25;0;1463035.0;34680
8;1;20;1;6;5;21.75;17.86;0.0;17.86;3600.023520231247;13.1;10.76;10.76;13.1;13.1;0;NO;1641
9;2;20;1;6;5;0.0;0.0;0.0;17.86;3190.5301551818848;13.1;13.1;10.76;13.1;13.1;1;1511495.0;31909
