;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;30;1;7;1;98.02;28.87;29.0;28.87;3600.035759449005;20.0;10.1;10.1;14.2;14.2;0;NO;1026
1;2;30;1;7;1;141.74;46.69;22.4;28.87;3600.200662612915;18.3;7.57;10.1;14.2;14.2;0;953699.0;14874
2;1;30;1;7;2;49.61;29.44;5.26;29.44;3600.0486536026;15.2;10.16;10.16;14.4;14.4;0;NO;1123
3;2;30;1;7;2;122.87;52.64;5.26;29.44;3600.297241210937;15.2;6.82;10.16;14.4;14.4;0;790073.0;16560
4;1;30;1;7;3;50.05;23.49;12.89;23.49;3600.0459504127502;14.27;9.51;9.51;12.43;12.43;0;NO;1022
5;2;30;1;7;3;87.85;45.05;3.12;23.49;3600.229179382324;12.83;6.83;9.51;12.43;12.43;0;826676.0;16712
6;1;30;1;7;4;33.37;20.48;5.7;20.48;3600.0277984142303;12.27;9.2;9.2;11.57;11.57;0;NO;1136
7;2;30;1;7;4;82.59;41.92;5.7;20.48;3600.21873664856;12.27;6.72;9.2;11.57;11.57;0;838310.0;17891
8;1;30;1;7;5;72.3;23.39;24.24;23.39;3600.0260891914368;15.8;9.17;9.17;11.97;11.97;0;NO;1057
9;2;30;1;7;5;93.37;43.27;8.83;23.39;3600.1774559021;13.13;6.79;9.17;11.97;11.97;0;830553.0;16595
