;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;50;1;25;1;72.12;9.78;35.6;9.78;3600.0601890087128;7.78;4.52;4.52;5.01;5.01;0;NO;1614
1;2;50;1;25;1;470.63;74.85;30.32;9.78;3602.6328563690186;7.19;1.26;4.52;5.01;5.01;0;129039.0;41419
2;1;50;1;25;2;144.01;13.7;52.52;13.7;3600.04989695549;8.15;3.34;3.34;3.87;3.87;0;NO;2400
3;2;50;1;25;2;701.04;75.19;49.67;13.7;3601.8963565826416;7.69;0.96;3.34;3.87;3.87;0;121722.0;37803
4;1;50;1;25;3;100.71;16.57;40.28;16.57;3600.05126953125;5.66;2.82;2.82;3.38;3.38;0;NO;2082
5;2;50;1;25;3;660.0;79.29;36.47;16.57;3602.478200912476;5.32;0.7;2.82;3.38;3.38;0;109512.0;38814
6;1;50;1;25;4;90.98;12.86;39.91;12.86;3600.05051445961;6.99;3.66;3.66;4.2;4.2;0;NO;1257
7;2;50;1;25;4;620.0;78.57;35.19;12.86;3602.3627586364746;6.48;0.9;3.66;4.2;4.2;0;130755.0;39565
8;1;50;1;25;5;120.15;14.29;47.01;14.29;3600.0882608890533;8.85;4.02;4.02;4.69;4.69;0;NO;2284
9;2;50;1;25;5;628.7;76.97;40.41;14.29;3600.9699058532715;7.87;1.08;4.02;4.69;4.69;0;116985.0;33685
