;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;30;1;10;1;100.52;19.56;38.01;19.56;3600.034546613693;11.63;5.8;5.8;7.21;7.21;0;NO;1333
1;2;30;1;10;1;129.39;54.23;4.76;19.56;3600.3968353271484;7.57;3.3;5.8;7.21;7.21;0;553194.0;26347
2;1;30;1;10;2;91.46;18.55;35.87;18.55;3600.0291543006897;10.76;5.62;5.62;6.9;6.9;0;NO;1284
3;2;30;1;10;2;212.01;58.99;21.86;18.55;3600.299440383911;8.83;2.83;5.62;6.9;6.9;0;404849.0;25873
4;1;30;1;10;3;41.79;18.63;13.32;18.63;3600.025164604187;7.43;5.24;5.24;6.44;6.44;0;NO;1547
5;2;30;1;10;3;162.36;59.16;6.67;18.63;3600.4580516815186;6.9;2.63;5.24;6.44;6.44;0;426902.0;25415
6;1;30;1;10;4;32.81;16.72;9.59;16.72;3600.037490606308;7.61;5.73;5.73;6.88;6.88;0;NO;1435
7;2;30;1;10;4;201.6;63.66;8.75;16.72;3600.3147926330566;7.54;2.5;5.73;6.88;6.88;0;378701.0;25815
8;1;30;1;10;5;104.81;22.69;36.85;22.69;3600.046572446823;13.19;6.44;6.44;8.33;8.33;0;NO;1220
9;2;30;1;10;5;207.47;58.22;22.15;22.69;3600.556909561157;10.7;3.48;6.44;8.33;8.33;0;405500.0;25877
