;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;20;1;5;1;48.98;27.95;6.83;27.95;3600.0194296836853;13.9;9.33;9.33;12.95;12.95;0;NO;1753
1;2;20;1;5;1;0.0;0.0;0.0;27.95;438.176794052124;12.95;12.95;9.33;12.95;12.95;1;695039.0;9576
2;1;20;1;5;2;38.77;17.9;12.23;17.9;3600.0137181282043;23.3;16.79;16.79;20.45;20.45;0;NO;1545
3;2;20;1;5;2;0.0;0.0;0.0;17.9;1855.6055145263672;20.45;20.45;16.79;20.45;20.45;1;1409457.0;15272
4;1;20;1;5;3;20.18;16.79;0.0;16.79;3600.0124311447144;10.6;8.82;8.82;10.6;10.6;0;NO;1615
5;2;20;1;5;3;0.0;0.0;0.0;16.79;284.6111888885498;10.6;10.6;8.82;10.6;10.6;1;439318.0;6689
6;1;20;1;5;4;41.32;29.24;0.0;29.24;3600.021180868149;13.75;9.73;9.73;13.75;13.75;0;NO;1511
7;2;20;1;5;4;0.0;0.0;0.0;29.24;896.6207103729248;13.75;13.75;9.73;13.75;13.75;1;1016595.0;11160
8;1;20;1;5;5;55.88;12.36;26.8;12.36;3600.016307115555;17.35;11.13;11.13;12.7;12.7;0;NO;1478
9;2;20;1;5;5;0.0;0.0;0.0;12.36;443.1490612030029;12.7;12.7;11.13;12.7;12.7;1;641413.0;8990
