1;1;3600.0856959819794;11.016666666666666;6.679745370370371;6.679745370370371;0;NO;839;
1;2;3600.266056060791;10.266666666666664;4.499999999999992;6.6797453703703695;0;462486.0;14241;
2;1;3600.06041097641;14.008333333333333;7.566468253968251;7.566468253968251;0;NO;921;
2;2;3600.1730556488037;12.51388888888889;4.799999999999992;7.566468253968254;0;482216.0;15769;
3;1;3600.032811164856;10.875;6.2689043209876525;6.2689043209876525;0;NO;897;
3;2;3600.3216075897217;9.841666666666669;4.024999999999993;6.268904320987656;0;499805.0;15374;
4;1;3600.0414798259735;7.594444444444445;5.579861111111113;5.579861111111113;0;NO;1073;
4;2;3600.3223094940186;7.188888888888878;3.274999999999997;5.5798611111111125;0;325127.0;18653;
5;1;3600.059193611145;14.483333333333333;7.231944444444447;7.231944444444447;0;NO;828;
5;2;3600.351749420166;12.699999999999854;4.4390624999999915;7.231944444444445;0;413576.0;14882;
