;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;20;1;10;1;83.58;12.89;37.47;12.89;3600.019540786743;11.29;6.15;6.15;7.06;7.06;0;NO;1977
1;2;20;1;10;1;149.21;55.38;10.06;12.89;3600.2872066497803;7.85;3.15;6.15;7.06;7.06;0;542263.0;63402
2;1;20;1;10;2;59.28;15.39;25.79;15.39;3600.0255522727966;13.22;8.3;8.3;9.81;9.81;0;NO;1857
3;2;20;1;10;2;163.12;60.75;3.16;15.39;3600.3709392547607;10.13;3.85;8.3;9.81;9.81;0;757916.0;44388
4;1;20;1;10;3;55.42;27.72;10.99;27.72;3600.017555475235;11.47;7.38;7.38;10.21;10.21;0;NO;1977
5;2;20;1;10;3;262.46;72.09;1.16;27.72;3600.286623001098;10.33;2.85;7.38;10.21;10.21;0;576935.0;48132
6;1;20;1;10;4;56.18;16.75;23.09;16.75;3600.0307445526123;10.48;6.71;6.71;8.06;8.06;0;NO;1937
7;2;20;1;10;4;205.9;64.27;8.51;16.75;3600.130968093872;8.81;2.88;6.71;8.06;8.06;0;540357.0;49981
8;1;20;1;10;5;77.43;13.23;35.04;13.23;3600.0268399715424;17.92;10.1;10.1;11.64;11.64;0;NO;1734
9;2;20;1;10;5;211.3;60.48;18.72;13.23;3600.182699203491;14.32;4.6;10.1;11.64;11.64;0;602592.0;46319
