;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;40;1;20;1;85.32;14.65;36.78;14.65;3600.0321905612946;7.45;4.02;4.02;4.71;4.71;0;NO;1265
1;2;40;1;20;1;554.63;77.07;33.38;14.65;3601.254514694214;7.07;1.08;4.02;4.71;4.71;0;162359.0;36860
2;1;40;1;20;2;97.98;13.57;41.56;13.57;3600.052643060684;8.83;4.46;4.46;5.16;5.16;0;NO;3545
3;2;40;1;20;2;596.0;75.78;40.69;13.57;3601.245445251465;8.7;1.25;4.46;5.16;5.16;0;156709.0;40433
4;1;40;1;20;3;69.7;14.71;30.91;14.71;3600.0564861297607;6.89;4.06;4.06;4.76;4.76;0;NO;1734
5;2;40;1;20;3;456.78;75.21;27.55;14.71;3600.597274780273;6.57;1.18;4.06;4.76;4.76;0;167348.0;40230
6;1;40;1;20;4;100.72;13.79;42.21;13.79;3600.0670762062077;8.41;4.19;4.19;4.86;4.86;0;NO;1394
7;2;40;1;20;4;492.25;73.46;36.39;13.79;3601.015989303589;7.64;1.29;4.19;4.86;4.86;0;175899.0;40386
8;1;40;1;20;5;88.14;13.83;38.32;13.83;3600.050006389618;8.09;4.3;4.3;4.99;4.99;0;NO;2898
9;2;40;1;20;5;445.11;73.35;31.17;13.83;3600.7345581054688;7.25;1.33;4.3;4.99;4.99;0;159958.0;45056
