;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;40;1;10;1;64.97;19.9;24.32;19.9;3600.08569598198;11.02;6.68;6.68;8.34;8.34;0;NO;839
1;2;40;1;10;1;128.22;46.04;18.79;19.9;3600.266056060791;10.27;4.5;6.68;8.34;8.34;0;462486.0;14241
2;1;40;1;10;2;85.07;21.39;31.26;21.39;3600.06041097641;14.01;7.57;7.57;9.63;9.63;0;NO;921
3;2;40;1;10;2;160.62;50.16;23.02;21.39;3600.173055648804;12.51;4.8;7.57;9.63;9.63;0;482216.0;15769
4;1;40;1;10;3;73.52;22.01;26.1;22.01;3600.032811164856;10.88;6.27;6.27;8.04;8.04;0;NO;897
5;2;40;1;10;3;144.78;50.0;18.29;22.01;3600.3216075897217;9.84;4.02;6.27;8.04;8.04;0;499805.0;15374
6;1;40;1;10;4;36.02;17.21;11.2;17.21;3600.041479825973;7.59;5.58;5.58;6.74;6.74;0;NO;1073
7;2;40;1;10;4;119.88;51.48;6.26;17.21;3600.3223094940186;7.19;3.27;5.58;6.74;6.74;0;325127.0;18653
8;1;40;1;10;5;100.28;20.02;37.57;20.02;3600.059193611145;14.48;7.23;7.23;9.04;9.04;0;NO;828
9;2;40;1;10;5;186.04;50.88;28.82;20.02;3600.351749420166;12.7;4.44;7.23;9.04;9.04;0;413576.0;14882
