;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;50;1;16;1;92.65;10.67;41.89;10.67;3600.05717086792;10.48;5.44;5.44;6.09;6.09;0;NO;822
1;2;50;1;16;1;264.29;58.62;33.66;10.67;3600.7082805633545;9.18;2.52;5.44;6.09;6.09;0;183416.0;25496
2;1;50;1;16;2;138.93;17.05;49.55;17.05;3600.090973377228;12.09;5.06;5.06;6.1;6.1;0;NO;885
3;2;50;1;16;2;327.03;63.61;35.65;17.05;3600.978126525879;9.48;2.22;5.06;6.1;6.1;0;211044.0;22818
4;1;50;1;16;3;97.56;18.18;38.13;18.18;3600.0391359329224;8.89;4.5;4.5;5.5;5.5;0;NO;670
5;2;50;1;16;3;283.66;63.27;29.03;18.18;3600.3389205932617;7.75;2.02;4.5;5.5;5.5;0;224313.0;22946
6;1;50;1;16;4;97.45;14.82;40.54;14.82;3600.090256690979;8.51;4.31;4.31;5.06;5.06;0;NO;756
7;2;50;1;16;4;273.27;60.08;32.89;14.82;3600.753049850464;7.54;2.02;4.31;5.06;5.06;0;182754.0;27418
8;1;50;1;16;5;71.87;12.72;33.33;12.72;3600.0425350666046;8.37;4.87;4.87;5.58;5.58;0;NO;929
9;2;50;1;16;5;213.6;59.14;21.96;12.72;3600.989908218384;7.15;2.28;4.87;5.58;5.58;0;191450.0;25222
