;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;40;1;13;1;106.59;19.59;39.8;19.59;3600.038778781891;11.28;5.46;5.46;6.79;6.79;0;NO;1695
1;2;40;1;13;1;291.92;61.71;33.37;19.59;3600.849105834961;10.19;2.6;5.46;6.79;6.79;0;234917.0;27454
2;1;40;1;13;2;83.59;21.22;30.86;21.22;3600.0471692085266;10.63;5.79;5.79;7.35;7.35;0;NO;1112
3;2;40;1;13;2;254.7;60.95;27.8;21.22;3600.657995223999;10.18;2.87;5.79;7.35;7.35;0;235422.0;22158
4;1;40;1;13;3;84.62;26.27;26.54;26.27;3600.054923772812;9.12;4.94;4.94;6.7;6.7;0;NO;1325
5;2;40;1;13;3;286.34;66.12;23.6;26.27;3600.4097290039062;8.77;2.27;4.94;6.7;6.7;0;297870.0;20649
6;1;40;1;13;4;88.71;21.7;32.32;21.7;3600.0307443141937;9.19;4.87;4.87;6.22;6.22;0;NO;1606
7;2;40;1;13;4;289.09;64.63;27.34;21.7;3601.023597717285;8.56;2.2;4.87;6.22;6.22;0;263057.0;22421
8;1;40;1;13;5;100.96;24.05;34.48;24.05;3600.028964996338;12.5;6.22;6.22;8.19;8.19;0;NO;1040
9;2;40;1;13;5;300.35;65.57;27.46;24.05;3600.3334369659424;11.29;2.82;6.22;8.19;8.19;0;308200.0;22915
