N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
60,20,1,4,6.63,3.9,3.9,3.34,3.9,3.9,0,0,0,14.36,1,2006
60,20,1,5,4.22,5.21,5.21,4.57,5.21,5.21,0,0,0,12.28,1,1
60,30,1,1,46.93,3.53,3.53,2.99,3.53,3.53,0,0,0,15.3,1,108807
60,30,1,2,1.78,3.07,3.07,2.74,3.07,3.07,0,0,0,10.75,1,1
60,30,1,3,3.12,3.45,3.45,2.91,3.45,3.45,0,0,0,15.65,1,1
60,30,1,4,6.46,3.72,3.72,3.01,3.72,3.72,0,0,0,19.09,1,75
60,30,1,5,25.85,3.8,3.8,3.29,3.8,3.8,0,0,0,13.42,1,46248
70,17,1,1,10.46,4.27,4.27,3.85,4.27,4.27,0,0,0,9.84,1,799
70,17,1,2,21.1,5.23,5.23,4.11,5.23,5.23,0,0,0,21.41,1,769
70,17,1,3,14.05,4.8,4.8,3.92,4.8,4.8,0,0,0,18.33,1,1
70,17,1,4,35.63,5.45,5.45,4.55,5.45,5.45,0,0,0,16.51,1,1225
70,17,1,5,46.51,5.42,5.42,4.12,5.42,5.42,0,0,0,23.99,1,4675
70,23,1,1,25,4.11,4.11,3.27,4.11,4.11,0,0,0,20.44,1,3062
70,23,1,2,8.32,4.11,4.11,3.53,4.11,4.11,0,0,0,14.11,1,420
70,23,1,3,19.01,3.77,3.77,2.95,3.77,3.77,0,0,0,21.75,1,4958
70,23,1,4,18.53,4.85,4.85,4.08,4.85,4.85,0,0,0,15.88,1,2766
70,23,1,5,12.28,4.48,4.48,3.7,4.48,4.48,0,0,0,17.41,1,129
70,35,1,1,5.96,2.81,2.81,2.64,2.81,2.81,0,0,0,6.05,1,1
70,35,1,2,7.83,3.16,3.16,2.87,3.16,3.16,0,0,0,9.18,1,5213
70,35,1,3,29.62,3.09,3.09,2.74,3.09,3.09,0,0,0,11.33,1,47085
70,35,1,4,3.17,3.32,3.32,2.92,3.32,3.32,0,0,0,12.05,1,1
70,35,1,5,14.45,3.13,3.13,2.72,3.13,3.13,0,0,0,13.1,1,13034
80,20,1,1,55.41,4.95,4.95,4.05,4.95,4.95,0,0,0,18.18,1,6843
80,20,1,2,30.38,4.3,4.3,3.5,4.3,4.3,0,0,0,18.6,1,3450
80,20,1,3,70.22,4.87,4.87,3.66,4.87,4.87,0,0,0,24.85,1,10594
80,20,1,4,13.02,4.66,4.66,3.97,4.66,4.66,0,0,0,14.81,1,1
80,20,1,5,42.35,4.2,4.2,3.36,4.2,4.2,0,0,0,20,1,619
80,26,1,1,44.68,4.2,4.2,3.43,4.2,4.2,0,0,0,18.33,1,45780
80,26,1,2,15.91,3.53,3.53,3.28,3.53,3.53,0,0,0,7.08,1,4027
80,26,1,3,46.23,4.02,4.02,3.3,4.02,4.02,0,0,0,17.91,1,17164
80,26,1,4,11.52,4.11,4.11,3.51,4.11,4.11,0,0,0,14.6,1,661
80,26,1,5,71.98,3.59,3.59,2.88,3.59,3.59,0,0,0,19.78,1,50743
80,40,1,1,7.88,2.64,2.64,2.42,2.64,2.64,0,0,0,8.33,1,1
80,40,1,2,17.26,2.51,2.51,2.19,2.51,2.51,0,0,0,12.75,1,16501
80,40,1,3,4.95,2.72,2.72,2.49,2.72,2.72,0,0,0,8.46,1,1
80,40,1,4,7.99,3.03,3.03,2.78,3.03,3.03,0,0,0,8.25,1,38
80,40,1,5,25.95,2.99,2.99,2.45,2.99,2.99,0,0,0,18.06,1,24485
90,22,1,1,38.81,3.66,3.66,3.1,3.66,3.66,0,0,0,15.3,1,819
90,22,1,2,30.71,3.36,3.36,2.94,3.36,3.36,0,0,0,12.5,1,117
90,22,1,3,53.96,4.01,4.01,3.24,4.01,4.01,0,0,0,19.2,1,612
90,22,1,4,40.67,3.99,3.99,3.37,3.99,3.99,0,0,0,15.54,1,1889
90,22,1,5,29.85,4.07,4.07,3.26,4.07,4.07,0,0,0,19.9,1,68
90,30,1,1,10.38,3.21,3.21,2.72,3.21,3.21,0,0,0,15.26,1,1
90,30,1,2,35.07,3.95,3.95,3.41,3.95,3.95,0,0,0,13.67,1,9681
90,30,1,3,26.31,3.19,3.19,2.71,3.19,3.19,0,0,0,15.05,1,6606
90,30,1,4,8.46,3.2,3.2,2.91,3.2,3.2,0,0,0,9.06,1,1
90,30,1,5,56.39,3.17,3.17,2.67,3.17,3.17,0,0,0,15.77,1,18463
90,45,1,1,22.76,3.02,3.02,2.7,3.02,3.02,0,0,0,10.6,1,17801
90,45,1,2,8.79,2.36,2.36,2.26,2.36,2.36,0,0,0,4.24,1,557
90,45,1,3,1139.23,2.43,2.43,2.07,2.43,2.43,0,0,0,14.81,1,2502403
90,45,1,4,9.33,2.65,2.65,2.37,2.65,2.65,0,0,0,10.57,1,4694
90,45,1,5,3600.15,2.74,2.72,2.25,2.74,2.72,0.74,0.73,0.73,17.88,0,8485268
100,25,1,1,91,3.98,3.98,3.12,3.98,3.98,0,0,0,21.61,1,7742
100,25,1,2,92.51,3.72,3.72,3.13,3.72,3.72,0,0,0,15.86,1,8028
100,25,1,3,69.94,3.42,3.42,2.91,3.42,3.42,0,0,0,14.91,1,12817
100,25,1,4,153.6,3.57,3.57,2.95,3.57,3.57,0,0,0,17.37,1,42409
100,25,1,5,88.84,3.43,3.43,2.94,3.43,3.43,0,0,0,14.29,1,4073
100,33,1,1,26.12,3.23,3.23,2.72,3.23,3.23,0,0,0,15.79,1,793
100,33,1,2,35.96,3.44,3.44,2.94,3.44,3.44,0,0,0,14.53,1,16841
100,33,1,3,32.02,2.98,2.98,2.57,2.98,2.98,0,0,0,13.76,1,13528
100,33,1,4,583.83,3.43,3.43,2.88,3.43,3.43,0,0,0,16.03,1,892936
100,33,1,5,9.3,2.89,2.89,2.5,2.89,2.89,0,0,0,13.49,1,1
100,50,1,1,10.47,2.99,2.99,2.71,2.99,2.99,0,0,0,9.36,1,1
100,50,1,2,14.13,2.19,2.19,2.08,2.19,2.19,0,0,0,5.02,1,4799
100,50,1,3,29.15,2.52,2.52,2.21,2.52,2.52,0,0,0,12.3,1,24149
100,50,1,4,1289.19,2.53,2.53,2.26,2.53,2.53,0,0,0,10.67,1,3049077
100,50,1,5,107.71,2.45,2.45,2.19,2.45,2.45,0,0,0,10.61,1,394730
