;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;30;1;10;1;101.03;19.56;38.16;19.56;3600.153842687607;11.66;5.8;5.8;7.21;7.21;0;NO;223
1;2;30;1;10;1;245.71;61.17;25.52;19.56;3600.76969909668;9.68;2.8;5.8;7.21;7.21;0;291985.0;6420
2;1;30;1;10;2;91.46;18.55;35.87;18.55;3600.176629304886;10.76;5.62;5.62;6.9;6.9;0;NO;333
3;2;30;1;10;2;291.34;63.19;30.58;18.55;3600.404621124268;9.94;2.54;5.62;6.9;6.9;0;251393.0;6110
4;1;30;1;10;3;50.57;18.63;18.38;18.63;3600.079800605774;7.89;5.24;5.24;6.44;6.44;0;NO;339
5;2;30;1;10;3;233.62;63.51;17.86;18.63;3600.2701892852783;7.84;2.35;5.24;6.44;6.44;0;266273.0;4505
6;1;30;1;10;4;55.5;16.72;22.78;16.72;3600.107073545456;8.91;5.73;5.73;6.88;6.88;0;NO;361
7;2;30;1;10;4;245.91;68.02;9.59;16.72;3600.1760959625244;7.61;2.2;5.73;6.88;6.88;0;341268.0;6450
8;1;30;1;10;5;154.5;22.69;49.18;22.69;3600.1056270599365;16.39;6.44;6.44;8.33;8.33;0;NO;281
9;2;30;1;10;5;299.69;61.58;34.87;22.69;3600.809425354004;12.79;3.2;6.44;8.33;8.33;0;296534.0;7228
