;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;40;1;10;1;111.08;19.9;40.85;19.9;3600.5981538295746;14.1;6.68;6.68;8.34;8.34;0;NO;71
1;2;40;1;10;1;271.39;51.8;44.14;19.9;3605.319448471069;14.93;4.02;6.68;8.34;8.34;0;30318.0;175
2;1;40;1;10;2;138.57;21.39;46.68;21.39;3600.672719478607;18.06;7.57;7.57;9.63;9.63;0;NO;68
3;2;40;1;10;2;347.5;54.31;51.09;21.39;3600.3520107269287;19.69;4.4;7.57;9.63;9.63;0;40701.0;192
4;1;40;1;10;3;101.28;22.01;36.29;22.01;3600.604278087616;12.62;6.27;6.27;8.04;8.04;0;NO;74
5;2;40;1;10;3;237.81;54.6;34.79;22.01;3600.526149749756;12.33;3.65;6.27;8.04;8.04;0;85055.0;351
6;1;40;1;10;4;50.36;17.21;19.67;17.21;3600.973657131195;8.39;5.58;5.58;6.74;6.74;0;NO;94
7;2;40;1;10;4;201.33;55.49;25.44;17.21;3600.3052768707275;9.04;3.0;5.58;6.74;6.74;0;96579.0;1436
8;1;40;1;10;5;112.59;20.02;41.18;20.02;3600.3251321315765;15.37;7.23;7.23;9.04;9.04;0;NO;84
9;2;40;1;10;5;242.4;54.87;35.29;20.02;3600.269914627075;13.97;4.08;7.23;9.04;9.04;0;62807.0;451
