1;1;3600.6145787239075;7.473684210526315;4.0236842105263175;4.0236842105263175;0;NO;157;
1;2;3601.261417388916;7.367105263157929;1.0000000000000004;4.02368421052632;0;68052.0;2838;
2;1;3600.69265460968;9.488157894736842;4.461842105263158;4.461842105263158;0;NO;212;
2;2;3605.623893737793;9.24999999999981;1.2250000000000072;4.461842105263158;0;88778.0;9283;
3;1;3600.5287902355194;8.335526315789473;4.057565789473684;4.057565789473684;0;NO;180;
3;2;3600.616424560547;7.199999999999922;1.1062499999999997;4.062746710526317;0;101265.0;3286;
4;1;3600.2358949184418;9.094736842105263;4.193859649122805;4.193859649122805;0;NO;178;
4;2;3600.5374641418457;8.785526315789491;1.2000000000000006;4.193859649122806;0;56135.0;2622;
5;1;3600.519987821579;8.64342105263158;4.298496240601507;4.298496240601507;0;NO;228;
5;2;3603.622968673706;8.478947368421089;1.275000000000001;4.298496240601505;0;97495.0;7030;
