N,density,p,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod
20,1,5,0,3600.05,20.83,20.83,14.91,53.53,NA
20,1,6,0,3600.03,24.16,24.16,11.76,52.4,NA
20,1,10,0,3600.04,17.2,17.2,30.08,75.32,NA
30,1,7,0,3600.13,25.13,25.13,26.59,87.95,NA
30,1,10,0,3600.13,19.23,19.23,32.87,90.61,NA
30,1,15,0,3600.18,14.61,14.61,40.07,97.33,NA
40,1,10,0,3600.63,20.11,20.11,36.93,102.78,NA
40,1,13,0,3600.46,22.57,22.57,40.05,116.69,NA
40,1,20,0,3600.52,14.11,14.11,42.86,104.38,NA
