;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;20;1;10;1;104.55;12.89;43.88;12.89;3600.0630531311035;12.58;6.15;6.15;7.06;7.06;0;NO;948
1;2;20;1;10;1;297.31;63.17;31.66;12.89;3600.485013961792;10.33;2.6;6.15;7.06;7.06;0;428136.0;25365
2;1;20;1;10;2;62.77;15.39;27.39;15.39;3600.028486967087;13.51;8.3;8.3;9.81;9.81;0;NO;778
3;2;20;1;10;2;243.81;67.89;9.42;15.39;3600.417732238769;10.83;3.15;8.3;9.81;9.81;0;521481.0;22445
4;1;20;1;10;3;69.11;27.72;18.19;27.72;3600.0237605571747;12.48;7.38;7.38;10.21;10.21;0;NO;939
5;2;20;1;10;3;377.25;77.18;8.18;27.72;3600.303346633911;11.12;2.33;7.38;10.21;10.21;0;452806.0;22559
6;1;20;1;10;4;59.76;16.75;24.81;16.75;3600.03643155098;10.72;6.71;6.71;8.06;8.06;0;NO;1009
7;2;20;1;10;4;307.92;70.22;17.67;16.75;3600.4913368225098;9.79;2.4;6.71;8.06;8.06;0;440462.0;26778
8;1;20;1;10;5;80.4;13.23;36.11;13.23;3600.0387783050537;18.22;10.1;10.1;11.64;11.64;0;NO;806
9;2;20;1;10;5;303.12;66.92;25.0;13.23;3601.015079498291;15.52;3.85;10.1;11.64;11.64;0;435619.0;20755
