;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;40;1;20;1;85.82;14.65;36.95;14.65;3600.6145787239075;7.47;4.02;4.02;4.71;4.71;0;NO;157
1;2;40;1;20;1;637.0;78.77;36.09;14.65;3601.261417388916;7.37;1.0;4.02;4.71;4.71;0;68052.0;2838
2;1;40;1;20;2;112.78;13.57;45.63;13.57;3600.69265460968;9.49;4.46;4.46;5.16;5.16;0;NO;212
3;2;40;1;20;2;652.03;76.16;44.22;13.57;3605.623893737793;9.25;1.23;4.46;5.16;5.16;0;88778.0;9283
4;1;40;1;20;3;105.42;14.71;42.93;14.71;3600.5287902355194;8.34;4.06;4.06;4.76;4.76;0;NO;180
5;2;40;1;20;3;548.65;76.68;33.89;14.71;3600.616424560547;7.2;1.11;4.06;4.76;4.76;0;101265.0;3286
6;1;40;1;20;4;116.95;13.79;46.53;13.79;3600.2358949184418;9.09;4.19;4.19;4.86;4.86;0;NO;178
7;2;40;1;20;4;632.5;75.31;44.71;13.79;3600.5374641418457;8.79;1.2;4.19;4.86;4.86;0;56135.0;2622
8;1;40;1;20;5;100.93;13.83;42.25;13.83;3600.519987821579;8.64;4.3;4.3;4.99;4.99;0;NO;228
9;2;40;1;20;5;562.5;74.35;41.16;13.83;3603.622968673706;8.48;1.28;4.3;4.99;4.99;0;97495.0;7030
