;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;30;1;15;1;93.98;13.77;40.21;13.77;3600.193587779999;8.38;4.32;4.32;5.01;5.01;0;NO;524
1;2;30;1;15;1;497.5;76.05;30.13;13.77;3601.286123275757;7.17;1.2;4.32;5.01;5.01;0;229855.0;15882
2;1;30;1;15;2;126.28;15.89;47.46;15.89;3600.222983121872;11.02;4.87;4.87;5.79;5.79;0;NO;458
3;2;30;1;15;2;525.2;78.07;27.08;15.89;3600.7141819000244;7.94;1.27;4.87;5.79;5.79;0;261029.0;13155
4;1;30;1;15;3;91.09;4.09;45.44;4.09;3600.0983743667603;10.3;5.39;5.39;5.62;5.62;0;NO;442
5;2;30;1;15;3;333.53;69.22;25.07;4.09;3600.59672164917;7.5;1.73;5.39;5.62;5.62;0;244777.0;13722
6;1;30;1;15;4;91.1;18.77;35.58;18.77;3600.286200284958;10.09;5.28;5.28;6.5;6.5;0;NO;373
7;2;30;1;15;4;592.54;79.38;29.96;18.77;3600.420129776001;9.28;1.34;5.28;6.5;6.5;0;173242.0;19635
8;1;30;1;15;5;84.22;20.54;31.68;20.54;3600.095041036606;9.69;5.26;5.26;6.62;6.62;0;NO;400
9;2;30;1;15;5;567.15;79.31;27.57;20.54;3600.613754272461;9.14;1.37;5.26;6.62;6.62;0;225782.0;12803
