;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;20;1;6;1;90.66;37.43;16.18;37.43;3600.025410890579;12.05;6.32;6.32;10.1;10.1;0;NO;688
1;2;20;1;6;1;98.18;45.54;7.34;37.43;3600.2010498046875;10.9;5.5;6.32;10.1;10.1;0;653013.0;14927
2;1;20;1;6;2;19.73;12.86;4.15;12.86;3600.025696992874;9.65;8.06;8.06;9.25;9.25;0;NO;541
3;2;20;1;6;2;20.13;16.76;0.0;12.86;3600.302795410156;9.25;7.7;8.06;9.25;9.25;0;813230.0;15836
4;1;20;1;6;3;45.06;26.95;5.63;26.95;3600.0486154556274;16.0;11.03;11.03;15.1;15.1;0;NO;576
5;2;20;1;6;3;75.29;42.38;0.98;26.95;3600.657440185547;15.25;8.7;11.03;15.1;15.1;0;725523.0;13674
6;1;20;1;6;4;57.83;25.72;14.7;25.72;3600.0280752182007;19.05;12.07;12.07;16.25;16.25;0;NO;513
7;2;20;1;6;4;92.7;45.23;5.25;25.72;3600.131393432617;17.15;8.9;12.07;16.25;16.25;0;578868.0;13126
8;1;20;1;6;5;48.7;17.86;18.13;17.86;3600.0279150009155;16.0;10.76;10.76;13.1;13.1;0;NO;441
9;2;20;1;6;5;41.01;29.08;0.0;17.86;3600.115098953247;13.1;9.29;10.76;13.1;13.1;0;550596.0;14293
