;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;40;1;13;1;116.67;19.59;42.6;19.59;3600.348189592361;11.83;5.46;5.46;6.79;6.79;0;NO;137
1;2;40;1;13;1;329.84;63.48;36.3;19.59;3601.751783370972;10.66;2.48;5.46;6.79;6.79;0;28760.0;2158
2;1;40;1;13;2;126.94;21.22;44.06;21.22;3600.644406557083;13.14;5.79;5.79;7.35;7.35;0;NO;115
3;2;40;1;13;2;287.18;62.86;30.46;21.22;3600.998008728028;10.57;2.73;5.79;7.35;7.35;0;87162.0;3003
4;1;40;1;13;3;137.45;26.27;42.88;26.27;3600.2745962142944;11.73;4.94;4.94;6.7;6.7;0;NO;111
5;2;40;1;13;3;373.68;68.81;32.32;26.27;3600.3804302215576;9.9;2.09;4.94;6.7;6.7;0;47652.0;2700
6;1;40;1;13;4;88.71;21.7;32.32;21.7;3600.7089409828186;9.19;4.87;4.87;6.22;6.22;0;NO;128
7;2;40;1;13;4;351.72;67.36;32.17;21.7;3601.111862182617;9.17;2.03;4.87;6.22;6.22;0;90955.0;2667
8;1;40;1;13;5;113.67;24.05;38.37;24.05;3600.325612545013;13.29;6.22;6.22;8.19;8.19;0;NO;103
9;2;40;1;13;5;378.08;68.25;34.11;24.05;3600.357765197754;12.43;2.6;6.22;8.19;8.19;0;96919.0;968
