;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;30;1;7;1;141.58;28.87;41.8;28.87;3600.085265398025;24.4;10.1;10.1;14.2;14.2;0;NO;115
1;2;30;1;7;1;169.4;51.9;22.83;28.87;3600.513006210327;18.4;6.83;10.1;14.2;14.2;0;353081.0;2339
2;1;30;1;7;2;55.81;29.44;9.03;29.44;3600.159729242325;15.83;10.16;10.16;14.4;14.4;0;NO;140
3;2;30;1;7;2;160.79;57.85;9.03;29.44;3600.608829498291;15.83;6.07;10.16;14.4;14.4;0;272867.0;2508
4;1;30;1;7;3;50.05;23.49;12.89;23.49;3600.14083313942;14.27;9.51;9.51;12.43;12.43;0;NO;111
5;2;30;1;7;3;130.16;50.12;12.89;23.49;3600.1380825042725;14.27;6.2;9.51;12.43;12.43;0;356879.0;2467
6;1;30;1;7;4;88.37;20.48;33.24;20.48;3600.1017026901245;17.33;9.2;9.2;11.57;11.57;0;NO;156
7;2;30;1;7;4;102.14;47.54;5.7;20.48;3600.556434631348;12.27;6.07;9.2;11.57;11.57;0;312182.0;3995
8;1;30;1;7;5;103.93;23.39;35.99;23.39;3600.1376996040344;18.7;9.17;9.17;11.97;11.97;0;NO;132
9;2;30;1;7;5;135.2;49.21;16.29;23.39;3600.4146156311035;14.3;6.08;9.17;11.97;11.97;0;279366.0;2166
