;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;6;1;0.0;0.17;76.57;47.29;28.23682975769043;5.72;5.72;3.02;5.73;10.1;1;69120.0
1;2;20;1;6;1;0.0;63.7;7.68;36.82;51.70532035827637;9.38;9.38;3.62;5.73;10.1;1;7013.0
2;3;20;1;6;1;0.0;63.7;7.68;33.86;31.17696952819824;9.38;9.38;3.79;5.73;10.1;1;4966.0
3;4;20;1;6;1;0.0;63.7;7.68;36.82;46.93228340148926;9.38;9.38;3.62;5.73;10.1;1;3286.0
4;5;20;1;6;1;0.0;63.7;7.68;36.82;51.45247840881348;9.38;9.38;3.62;5.73;10.1;1;3133.0
5;6;20;1;6;1;0.0;63.7;7.68;18.5;2.9545497894287114;9.38;9.38;4.67;5.73;10.1;1;1067.0
6;7;20;1;6;1;0.0;63.7;7.68;18.5;1.5468273162841797;9.38;9.38;4.67;5.73;10.1;1;376.0
7;8;20;1;6;1;0.0;63.7;7.68;9.6;1.531198501586914;9.38;9.38;5.18;5.73;10.1;1;1.0
8;1;20;1;6;2;0.0;0.0;87.28;36.92;3.0014743804931636;5.58;5.58;3.52;5.58;10.45;1;1.0
9;2;20;1;6;2;0.0;87.28;0.0;22.94;61.48265266418457;10.45;10.45;4.3;5.58;10.45;1;4925.0
10;3;20;1;6;2;0.0;87.28;0.0;18.46;45.58518028259277;10.45;10.45;4.55;5.58;10.45;1;3835.0
11;4;20;1;6;2;0.0;87.28;0.0;22.94;62.18730545043945;10.45;10.45;4.3;5.58;10.45;1;1604.0
12;5;20;1;6;2;0.0;87.28;0.0;22.94;74.53483390808104;10.45;10.45;4.3;5.58;10.45;1;10635.0
13;6;20;1;6;2;0.0;87.28;0.0;0.54;3.171772003173828;10.45;10.45;5.55;5.58;10.45;1;399.0
14;7;20;1;6;2;0.0;87.28;0.0;0.54;1.3437042236328125;10.45;10.45;5.55;5.58;10.45;1;206.0
15;8;20;1;6;2;0.0;87.28;0.0;11.11;1.374956130981445;10.45;10.45;6.2;5.58;10.45;1;216.0
16;1;20;1;6;3;0.0;0.0;75.34;37.39;3.016956329345703;8.8;8.8;5.51;8.8;15.43;1;231.0
17;2;20;1;6;3;0.0;75.23;0.06;23.3;22.87732124328613;15.42;15.42;6.75;8.8;15.43;1;4471.0
18;3;20;1;6;3;0.0;75.23;0.06;17.16;50.35487937927246;15.42;15.42;7.29;8.8;15.43;1;1739.0
19;4;20;1;6;3;0.0;75.23;0.06;23.3;62.64104652404785;15.42;15.42;6.75;8.8;15.43;1;3357.0
20;5;20;1;6;3;0.0;75.23;0.06;23.3;54.777587890625;15.42;15.42;6.75;8.8;15.43;1;2512.0
21;6;20;1;6;3;0.0;75.23;0.06;2.73;2.82718276977539;15.42;15.42;8.56;8.8;15.43;1;167.0
22;7;20;1;6;3;0.0;75.23;0.06;2.73;1.4545669555664062;15.42;15.42;8.56;8.8;15.43;1;1.0
23;8;20;1;6;3;0.0;75.23;0.06;3.52;1.8749370574951167;15.42;15.42;9.11;8.8;15.43;1;362.0
24;1;20;1;6;4;0.0;0.0;66.16;38.55;95.94807243347168;9.78;9.78;6.01;9.78;16.25;1;606496.0
25;2;20;1;6;4;0.0;52.56;8.91;23.82;27.57672119140625;14.92;14.92;7.45;9.78;16.25;1;2878.0
26;3;20;1;6;4;0.0;52.56;8.91;19.53;33.21906471252441;14.92;14.92;7.87;9.78;16.25;1;3060.0
27;4;20;1;6;4;0.0;52.56;8.91;23.82;76.82447624206544;14.92;14.92;7.45;9.78;16.25;1;8123.0
28;5;20;1;6;4;0.0;52.56;8.91;23.82;52.41801834106445;14.92;14.92;7.45;9.78;16.25;1;2306.0
29;6;20;1;6;4;0.0;52.56;8.91;0.72;0.5312328338623047;14.92;14.92;9.71;9.78;16.25;1;1.0
30;7;20;1;6;4;0.0;52.56;8.91;0.72;0.32811737060546875;14.92;14.92;9.71;9.78;16.25;1;1.0
31;8;20;1;6;4;0.0;52.56;8.91;0.2;0.31249046325683594;14.92;14.92;9.76;9.78;16.25;1;1.0
32;1;20;1;6;5;0.0;0.0;77.03;33.51;222.1290187835693;7.4;7.4;4.92;7.4;13.1;1;2252213.0
33;2;20;1;6;5;0.08;68.51;4.97;16.22;13.47099494934082;12.48;12.47;6.2;7.4;13.1;1;1634.0
34;3;20;1;6;5;0.08;68.51;4.97;8.51;14.971866607666016;12.48;12.47;6.77;7.4;13.1;1;1333.0
35;4;20;1;6;5;0.08;68.51;4.97;16.22;33.052576065063484;12.48;12.47;6.2;7.4;13.1;1;3701.0
36;5;20;1;6;5;0.08;68.51;4.97;16.22;67.32470321655272;12.48;12.47;6.2;7.4;13.1;1;3466.0
37;6;20;1;6;5;0.0;68.65;4.97;12.3;1.1249675750732422;12.48;12.48;8.31;7.4;13.1;1;1.0
38;7;20;1;6;5;0.0;68.65;4.97;12.3;0.6406059265136719;12.48;12.48;8.31;7.4;13.1;1;1.0
39;8;20;1;6;5;0.0;68.65;4.97;14.46;0.4687309265136719;12.48;12.48;8.47;7.4;13.1;1;1.0
