;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;5;1;0.0;0.0;80.0;29.12;2.534820556640625;6.25;6.25;4.43;6.25;11.25;1;66.0
1;2;20;1;5;1;0.0;80.0;0.0;7.68;22.160533905029297;11.25;11.25;5.77;6.25;11.25;1;885.0
2;3;20;1;5;1;0.0;80.0;0.0;3.52;25.940471649169922;11.25;11.25;6.03;6.25;11.25;1;5099.0
3;4;20;1;5;1;0.0;80.0;0.0;7.68;15.470436096191404;11.25;11.25;5.77;6.25;11.25;1;1284.0
4;5;20;1;5;1;0.0;80.0;0.0;7.68;30.25604248046875;11.25;11.25;5.77;6.25;11.25;1;3697.0
5;6;20;1;5;1;0.0;80.0;0.0;20.16;1.203084945678711;11.25;11.25;7.51;6.25;11.25;1;1.0
6;7;20;1;5;1;0.0;80.0;0.0;20.16;0.6249809265136719;11.25;11.25;7.51;6.25;11.25;1;1.0
7;8;20;1;5;1;0.0;80.0;0.0;21.6;0.5781078338623047;11.25;11.25;7.6;6.25;11.25;1;1.0
8;1;20;1;5;2;0.0;0.0;74.42;36.34;3.3755092620849614;6.88;6.88;4.38;6.88;12.0;1;1.0
9;2;20;1;5;2;0.0;74.42;0.0;22.82;23.627695083618164;12.0;12.0;5.31;6.88;12.0;1;1636.0
10;3;20;1;5;2;0.0;74.42;0.0;17.15;18.30838394165039;12.0;12.0;5.7;6.88;12.0;1;2930.0
11;4;20;1;5;2;0.0;74.42;0.0;22.82;17.895797729492188;12.0;12.0;5.31;6.88;12.0;1;2650.0
12;5;20;1;5;2;0.0;74.42;0.0;22.82;21.43913078308105;12.0;12.0;5.31;6.88;12.0;1;2650.0
13;6;20;1;5;2;0.0;74.42;0.0;4.94;1.673807144165039;12.0;12.0;7.22;6.88;12.0;1;1.0
14;7;20;1;5;2;0.0;74.42;0.0;4.94;1.0937232971191406;12.0;12.0;7.22;6.88;12.0;1;1.0
15;8;20;1;5;2;0.0;74.42;0.0;14.68;1.2490100860595703;12.0;12.0;7.89;6.88;12.0;1;1.0
16;1;20;1;5;3;0.0;0.0;78.12;25.38;52.06591987609863;8.0;8.0;5.97;8.0;14.25;1;192864.0
17;2;20;1;5;3;0.0;78.12;0.0;3.63;73.79220771789552;14.25;14.25;7.71;8.0;14.25;1;2075.0
18;3;20;1;5;3;0.0;78.12;0.0;2.0;44.33879280090332;14.25;14.25;8.16;8.0;14.25;1;4596.0
19;4;20;1;5;3;0.0;78.12;0.0;3.63;64.0377254486084;14.25;14.25;7.71;8.0;14.25;1;1302.0
20;5;20;1;5;3;0.0;78.12;0.0;3.63;72.58236312866211;14.25;14.25;7.71;8.0;14.25;1;2071.0
21;6;20;1;5;3;0.0;78.12;0.0;24.5;3.218639373779297;14.25;14.25;9.96;8.0;14.25;1;287.0
22;7;20;1;5;3;0.0;78.12;0.0;24.5;1.4389019012451172;14.25;14.25;9.96;8.0;14.25;1;1.0
23;8;20;1;5;3;0.0;78.12;0.0;27.0;2.0311908721923833;14.25;14.25;10.16;8.0;14.25;1;1.0
24;1;20;1;5;4;0.0;0.0;72.41;41.87;12.289777755737305;8.12;8.12;4.72;8.12;14.0;1;4389.0
25;2;20;1;5;4;0.0;72.41;0.0;24.75;100.81719017028809;14.0;14.0;6.11;8.12;14.0;1;3307.0
26;3;20;1;5;4;0.0;72.41;0.0;20.32;70.83362579345703;14.0;14.0;6.47;8.12;14.0;1;4807.0
27;4;20;1;5;4;0.0;72.41;0.0;24.75;65.96745491027832;14.0;14.0;6.11;8.12;14.0;1;6267.0
28;5;20;1;5;4;0.0;72.41;0.0;24.75;49.5725269317627;14.0;14.0;6.11;8.12;14.0;1;9094.0
29;6;20;1;5;4;0.0;72.41;0.0;5.54;5.708824157714844;14.0;14.0;7.67;8.12;14.0;1;738.0
30;7;20;1;5;4;0.0;72.41;0.0;5.54;2.2499446868896484;14.0;14.0;7.67;8.12;14.0;1;691.0
31;8;20;1;5;4;0.0;72.41;0.0;3.94;2.3593120574951167;14.0;14.0;7.8;8.12;14.0;1;580.0
32;1;20;1;5;5;0.0;0.0;100.16;36.6;2.7655391693115234;6.12;6.12;3.88;6.12;12.25;1;254.0
33;2;20;1;5;5;0.0;100.16;0.0;23.37;36.83551979064941;12.25;12.25;4.69;6.12;12.25;1;1773.0
34;3;20;1;5;5;0.0;100.16;0.0;17.32;30.4205379486084;12.25;12.25;5.06;6.12;12.25;1;2604.0
35;4;20;1;5;5;0.0;100.16;0.0;23.37;31.64036750793457;12.25;12.25;4.69;6.12;12.25;1;2699.0
36;5;20;1;5;5;0.0;100.16;0.0;23.37;37.8509578704834;12.25;12.25;4.69;6.12;12.25;1;4971.0
37;6;20;1;5;5;0.0;100.16;0.0;0.16;3.2498950958251958;12.25;12.25;6.13;6.12;12.25;1;1.0
38;7;20;1;5;5;0.0;100.16;0.0;0.16;0.9530963897705078;12.25;12.25;6.13;6.12;12.25;1;1.0
39;8;20;1;5;5;0.0;100.16;0.0;7.84;1.0952224731445312;12.25;12.25;6.6;6.12;12.25;1;1.0
