;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;20;1;10;1;0.0;0.0;50.85;20.94;32.531667709350586;4.68;4.68;3.7;4.68;7.06;1;96877.0
1;2;20;1;10;1;0.0;26.92;18.86;14.96;9.015336990356444;5.94;5.94;3.98;4.68;7.06;1;75.0
2;3;20;1;10;1;0.0;26.92;18.86;13.68;7.720186233520508;5.94;5.94;4.04;4.68;7.06;1;107.0
3;4;20;1;10;1;0.0;26.92;18.86;14.96;29.550968170166016;5.94;5.94;3.98;4.68;7.06;1;1269.0
4;5;20;1;10;1;0.0;26.92;18.86;14.96;33.58199691772461;5.94;5.94;3.98;4.68;7.06;1;3171.0
5;6;20;1;10;1;0.0;26.92;18.86;6.84;1.374956130981445;5.94;5.94;4.36;4.68;7.06;1;1.0
6;7;20;1;10;1;0.0;26.92;18.86;6.84;0.8437213897705078;5.94;5.94;4.36;4.68;7.06;1;1.0
7;8;20;1;10;1;0.0;26.92;18.86;4.49;0.7656002044677734;5.94;5.94;4.47;4.68;7.06;1;1.0
8;1;20;1;10;2;0.0;0.0;56.71;26.2;2.515554428100586;6.26;6.26;4.62;6.26;9.81;1;1.0
9;2;20;1;10;2;0.0;41.85;10.47;19.49;19.485225677490234;8.88;8.88;5.04;6.26;9.81;1;1733.0
10;3;20;1;10;2;0.11;41.69;10.47;16.13;14.110647201538086;8.88;8.87;5.25;6.26;9.81;1;851.0
11;4;20;1;10;2;0.0;41.85;10.47;19.49;22.943004608154297;8.88;8.88;5.04;6.26;9.81;1;4876.0
12;5;20;1;10;2;0.0;41.85;10.47;19.49;24.424541473388672;8.88;8.88;5.04;6.26;9.81;1;2136.0
13;6;20;1;10;2;0.0;41.85;10.47;9.58;1.515573501586914;8.88;8.88;5.66;6.26;9.81;1;1.0
14;7;20;1;10;2;0.0;41.85;10.47;9.58;0.5624847412109375;8.88;8.88;5.66;6.26;9.81;1;1.0
15;8;20;1;10;2;0.0;41.85;10.47;6.39;0.3920669555664063;8.88;8.88;5.86;6.26;9.81;1;1.0
16;1;20;1;10;3;0.0;0.0;35.05;31.22;5.031099319458008;7.56;7.56;5.2;7.56;10.21;1;1321.0
17;2;20;1;10;3;0.0;22.22;10.5;26.72;17.752660751342773;9.24;9.24;5.54;7.56;10.21;1;721.0
18;3;20;1;10;3;0.0;22.22;10.5;24.21;16.971864700317386;9.24;9.24;5.73;7.56;10.21;1;994.0
19;4;20;1;10;3;0.0;22.22;10.5;26.72;36.36344337463379;9.24;9.24;5.54;7.56;10.21;1;1528.0
20;5;20;1;10;3;0.0;22.22;10.5;26.72;18.6323356628418;9.24;9.24;5.54;7.56;10.21;1;1470.0
21;6;20;1;10;3;0.0;22.22;10.5;21.43;3.86025619506836;9.24;9.24;5.94;7.56;10.21;1;275.0
22;7;20;1;10;3;0.0;22.22;10.5;21.43;2.718669891357422;9.24;9.24;5.94;7.56;10.21;1;125.0
23;8;20;1;10;3;0.0;22.22;10.5;17.99;2.3436813354492188;9.24;9.24;6.2;7.56;10.21;1;159.0
24;1;20;1;10;4;0.0;0.0;34.11;29.28;3.8923015594482417;6.01;6.01;4.25;6.01;8.06;1;2654.0
25;2;20;1;10;4;0.0;25.79;6.61;21.8;14.032571792602539;7.56;7.56;4.7;6.01;8.06;1;839.0
26;3;20;1;10;4;0.0;25.79;6.61;19.3;30.12578392028809;7.56;7.56;4.85;6.01;8.06;1;2672.0
27;4;20;1;10;4;0.0;25.79;6.61;21.8;13.081565856933596;7.56;7.56;4.7;6.01;8.06;1;1066.0
28;5;20;1;10;4;0.0;25.79;6.61;21.8;10.490034103393556;7.56;7.56;4.7;6.01;8.06;1;2015.0
29;6;20;1;10;4;0.0;25.79;6.61;11.98;1.703073501586914;7.56;7.56;5.29;6.01;8.06;1;268.0
30;7;20;1;10;4;0.0;25.79;6.61;11.98;0.7031078338623047;7.56;7.56;5.29;6.01;8.06;1;1.0
31;8;20;1;10;4;0.0;25.79;6.61;8.49;0.8124771118164062;7.56;7.56;5.5;6.01;8.06;1;1.0
32;1;20;1;10;5;0.0;0.0;35.66;27.27;3.3905239105224614;8.58;8.58;6.24;8.58;11.64;1;54.0
33;2;20;1;10;5;0.0;28.67;5.43;17.6;20.178321838378906;11.04;11.04;7.07;8.58;11.64;1;3296.0
34;3;20;1;10;5;0.0;28.67;5.43;15.03;16.284873962402347;11.04;11.04;7.29;8.58;11.64;1;4748.0
35;4;20;1;10;5;0.0;28.67;5.43;17.6;51.94878768920898;11.04;11.04;7.07;8.58;11.64;1;15868.0
36;5;20;1;10;5;0.0;28.67;5.43;17.6;19.48814582824707;11.04;11.04;7.07;8.58;11.64;1;6264.0
37;6;20;1;10;5;0.0;28.67;5.43;9.56;1.4388179779052734;11.04;11.04;7.76;8.58;11.64;1;38.0
38;7;20;1;10;5;0.0;28.67;5.43;9.56;0.3281192779541016;11.04;11.04;7.76;8.58;11.64;1;1.0
39;8;20;1;10;5;0.0;28.67;5.43;6.53;0.31249046325683594;11.04;11.04;8.02;8.58;11.64;1;1.0
