;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;30;1;10;1;0.0;0.0;260.5;14.0;3.0647106170654297;2.0;2.0;1.72;2.0;7.21;1;1.0
1;2;30;1;10;1;0.0;146.5;46.25;24.0;148.5512504577637;4.93;4.93;2.48;2.0;7.21;1;5338.0
2;3;30;1;10;1;0.0;146.5;46.25;29.0;86.50861167907715;4.93;4.93;2.58;2.0;7.21;1;3819.0
3;4;30;1;10;1;0.0;146.5;46.25;24.0;83.4811305999756;4.93;4.93;2.48;2.0;7.21;1;2384.0
4;5;30;1;10;1;0.41;145.5;46.25;24.0;3600.152687072754;4.93;4.91;2.48;2.0;7.21;0;1031312.0
5;6;30;1;10;1;0.0;146.5;46.25;56.5;3.4373950958251958;4.93;4.93;3.13;2.0;7.21;1;1.0
6;7;30;1;10;1;0.0;146.5;46.25;56.5;2.5311565399169917;4.93;4.93;3.13;2.0;7.21;1;1.0
7;8;30;1;10;1;0.0;146.5;46.25;62.5;1.953073501586914;4.93;4.93;3.25;2.0;7.21;1;1.0
8;1;30;1;10;2;0.0;0.0;379.17;0.0;3.4998989105224614;1.44;1.44;1.44;1.44;6.9;1;1.0
9;2;30;1;10;2;0.0;247.92;37.72;84.03;102.31130981445312;5.01;5.01;2.65;1.44;6.9;1;322.0
10;3;30;1;10;2;0.0;247.92;37.72;86.11;145.21600341796875;5.01;5.01;2.68;1.44;6.9;1;2643.0
11;4;30;1;10;2;0.0;247.92;37.72;84.03;154.25568962097168;5.01;5.01;2.65;1.44;6.9;1;880.0
12;5;30;1;10;2;1.01;244.44;37.72;84.03;3600.325185775757;5.01;4.96;2.65;1.44;6.9;0;200611.0
13;6;30;1;10;2;0.0;247.92;37.72;149.31;7.157575607299805;5.01;5.01;3.59;1.44;6.9;1;1.0
14;7;30;1;10;2;0.0;247.92;37.72;149.31;1.736894607543945;5.01;5.01;3.59;1.44;6.9;1;1.0
15;8;30;1;10;2;0.0;247.92;37.72;153.47;2.034736633300781;5.01;5.01;3.65;1.44;6.9;1;1.0
16;1;30;1;10;3;0.0;0.0;240.74;20.63;4.3739967346191415;1.89;1.89;1.5;1.89;6.44;1;1.0
17;2;30;1;10;3;0.0;158.2;31.97;35.45;188.0025634765625;4.88;4.88;2.56;1.89;6.44;1;9151.0
18;3;30;1;10;3;0.0;158.2;31.97;38.62;76.8744640350342;4.88;4.88;2.62;1.89;6.44;1;2339.0
19;4;30;1;10;3;0.0;158.2;31.97;35.45;112.90467643737793;4.88;4.88;2.56;1.89;6.44;1;2640.0
20;5;30;1;10;3;2.31;152.38;31.97;35.45;3600.076234817505;4.88;4.77;2.56;1.89;6.44;0;297310.0
21;6;30;1;10;3;0.0;158.2;31.97;78.84;2.0468120574951167;4.88;4.88;3.38;1.89;6.44;1;1.0
22;7;30;1;10;3;0.0;158.2;31.97;78.84;1.0155887603759766;4.88;4.88;3.38;1.89;6.44;1;1.0
23;8;30;1;10;3;0.0;158.2;31.97;85.71;1.1249713897705078;4.88;4.88;3.51;1.89;6.44;1;1.0
24;1;30;1;10;4;0.0;0.0;181.97;20.49;2.7030506134033203;2.44;2.44;1.94;2.44;6.88;1;1.0
25;2;30;1;10;4;0.0;132.79;21.13;22.95;175.20853424072266;5.68;5.68;3.0;2.44;6.88;1;4660.0
26;3;30;1;10;4;0.0;132.79;21.13;26.64;242.14913177490237;5.68;5.68;3.09;2.44;6.88;1;5958.0
27;4;30;1;10;4;0.0;132.79;21.13;22.95;220.0475311279297;5.68;5.68;3.0;2.44;6.88;1;6933.0
28;5;30;1;10;4;2.53;127.05;21.13;22.95;3600.1661415100098;5.68;5.54;3.0;2.44;6.88;0;175534.0
29;6;30;1;10;4;0.0;132.79;21.13;56.56;3.1874027252197266;5.68;5.68;3.82;2.44;6.88;1;5.0
30;7;30;1;10;4;0.0;132.79;21.13;56.56;1.9218196868896484;5.68;5.68;3.82;2.44;6.88;1;1.0
31;8;30;1;10;4;0.0;132.79;21.13;56.56;2.70303726196289;5.68;5.68;3.82;2.44;6.88;1;1.0
32;1;30;1;10;5;0.0;0.0;275.23;12.61;3.3297290802001958;2.22;2.22;1.94;2.22;8.33;1;1.0
33;2;30;1;10;5;0.0;165.32;41.43;54.05;200.84403419494632;5.89;5.89;3.42;2.22;8.33;1;8087.0
34;3;30;1;10;5;0.0;165.32;41.43;54.05;305.6418743133545;5.89;5.89;3.42;2.22;8.33;1;2474.0
35;4;30;1;10;5;0.0;165.32;41.43;54.05;302.86188697814936;5.89;5.89;3.42;2.22;8.33;1;1889.0
36;5;30;1;10;5;4.62;153.6;41.43;54.05;3600.051443099976;5.89;5.63;3.42;2.22;8.33;0;277774.0
37;6;30;1;10;5;0.0;165.32;41.43;108.11;3.4530200958251958;5.89;5.89;4.62;2.22;8.33;1;1.0
38;7;30;1;10;5;0.0;165.32;41.43;108.11;7.238594055175781;5.89;5.89;4.62;2.22;8.33;1;193.0
39;8;30;1;10;5;0.0;165.32;41.43;108.11;6.376482009887695;5.89;5.89;4.62;2.22;8.33;1;1.0
